Financial Year,Disability Status of the Individual,Gender of the Individual,Educational Attainment of the Individual,Universal Credit (UC) Applicable Family for the Individual,Savings and Investments of Adults in the Family of the Individual,Number of Children in the Family of the Individual,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),0_to_15,16_to_19_child,16_to_24_adult,25_to_29,30_to_34,35_to_39,40_to_44,45_to_49,50_to_54,55_to_59,60_to_64,65_to_69,70_to_74,75_to_79,80_to_84,85_or_over
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,One child,Great Britain,0.0,0.0,0.0,5099.0,8924.0,0.0,8607.0,2885.0,6601.0,1698.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,Three or more children,Great Britain,0.0,0.0,0.0,0.0,3910.0,3215.0,8716.0,3092.0,3271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,Two children,Great Britain,0.0,0.0,0.0,0.0,2057.0,11257.0,5276.0,8395.0,1264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,No savings,Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",No children,Great Britain,0.0,0.0,0.0,11951.0,8731.0,9702.0,7760.0,1663.0,6868.0,7054.0,5604.0,0.0,985.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,238.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",One child,Great Britain,0.0,0.0,0.0,0.0,2784.0,1645.0,6735.0,8011.0,1035.0,824.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,5131.0,0.0,1601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",Two children,Great Britain,0.0,0.0,0.0,0.0,2464.0,0.0,2891.0,1523.0,1199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£1,500 but less than £3,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",No children,Great Britain,0.0,0.0,4240.0,14642.0,2119.0,955.0,2219.0,5951.0,3470.0,7014.0,11901.0,1251.0,940.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,3152.0,1419.0,1126.0,3903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,1674.0,0.0,0.0,0.0,3881.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",Two children,Great Britain,0.0,0.0,0.0,0.0,3861.0,2778.0,8286.0,858.0,2799.0,1155.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£10,000 but less than £16,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",No children,Great Britain,0.0,0.0,0.0,10814.0,6167.0,1543.0,4398.0,0.0,5184.0,6889.0,1770.0,2002.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,2782.0,794.0,0.0,5854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,5102.0,4272.0,2198.0,1157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£16,000 but less than £20,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",No children,Great Britain,0.0,0.0,7027.0,26893.0,27086.0,4092.0,6599.0,19850.0,27567.0,43998.0,44039.0,20329.0,5810.0,0.0,1087.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",No children,Northern Ireland,0.0,0.0,0.0,554.0,0.0,372.0,0.0,0.0,858.0,603.0,848.0,287.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,3976.0,8290.0,13017.0,12238.0,788.0,739.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",Three or more children,Great Britain,0.0,0.0,0.0,0.0,2133.0,0.0,3750.0,0.0,4378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",Two children,Great Britain,0.0,0.0,0.0,0.0,1340.0,7445.0,8126.0,12334.0,3040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£20,000 or more",Two children,Northern Ireland,0.0,0.0,0.0,0.0,394.0,0.0,0.0,0.0,991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",No children,Great Britain,0.0,0.0,8725.0,10483.0,12382.0,2805.0,6484.0,9577.0,11381.0,13765.0,9876.0,6422.0,2447.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",No children,Northern Ireland,0.0,0.0,315.0,1922.0,0.0,0.0,486.0,0.0,240.0,865.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",One child,Great Britain,0.0,0.0,0.0,4603.0,3332.0,0.0,8476.0,1809.0,1720.0,2593.0,2014.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,980.0,1710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,4441.0,0.0,4826.0,6801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",Two children,Great Britain,0.0,0.0,0.0,0.0,6317.0,8279.0,11913.0,2952.0,5443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£3,000 but less than £8,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",No children,Great Britain,0.0,0.0,0.0,2055.0,5047.0,0.0,0.0,3243.0,1060.0,5669.0,4902.0,1248.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",One child,Great Britain,0.0,0.0,0.0,0.0,2961.0,0.0,5416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,1960.0,5061.0,0.0,797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,In a UC applicable family,"£8,000 but less than £10,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"Less than £1,500",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),No savings,Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£1,500 but less than £3,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£10,000 but less than £16,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£16,000 but less than £20,000",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",Three or more children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",Three or more children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",Two children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£20,000 or more",Two children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£3,000 but less than £8,000",No children,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£3,000 but less than £8,000",No children,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£3,000 but less than £8,000",One child,Great Britain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,Disabled,Female,Degree or above,Not available (before 2018/19),"£3,000 but less than £8,000",One child,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
