,date,geography_code,phase,fsm_eligible_percent
3794,201617,E12000001,Non-maintained special school,18.6
3795,201617,E12000002,Non-maintained special school,31.3
3801,201617,E12000003,Pupil referral unit,45.9
3803,201617,E12000001,Pupil referral unit,43.7
3804,201617,E12000002,Pupil referral unit,42.2
3811,201617,E12000003,State-funded nursery,3.2
3813,201617,E12000001,State-funded nursery,4.1
3814,201617,E12000002,State-funded nursery,3.2
3820,201617,E12000003,State-funded primary,16.0
3822,201617,E12000001,State-funded primary,19.0
3823,201617,E12000002,State-funded primary,16.3
3831,201617,E12000001,State-funded secondary,16.5
3832,201617,E12000002,State-funded secondary,15.0
3834,201617,E12000003,State-funded secondary,14.7
3840,201617,E12000001,State-funded special school,42.5
3841,201617,E12000002,State-funded special school,40.3
3843,201617,E12000003,State-funded special school,38.8
4742,201516,E12000001,Total,18.4
4745,201516,E12000003,Total,15.5
4749,201516,E12000002,Total,16.4
4751,201516,E12000001,Non-maintained special school,17.8
4753,201516,E12000002,Non-maintained special school,22.7
4758,201516,E12000003,Non-maintained special school,34.6
4763,201516,E12000003,Pupil referral unit,46.0
4765,201516,E12000001,Pupil referral unit,46.5
4767,201516,E12000002,Pupil referral unit,43.2
4769,201516,E12000002,State-funded nursery,3.6
4770,201516,E12000001,State-funded nursery,2.9
4777,201516,E12000003,State-funded nursery,2.3
4778,201516,E12000002,State-funded primary,16.6
4783,201516,E12000001,State-funded primary,19.2
4786,201516,E12000003,State-funded primary,15.8
4787,201516,E12000002,State-funded secondary,15.2
4790,201516,E12000001,State-funded secondary,16.4
4795,201516,E12000003,State-funded secondary,14.5
4796,201516,E12000003,State-funded special school,38.9
4798,201516,E12000002,State-funded special school,40.8
4801,201516,E12000001,State-funded special school,41.8
358,202021,E08000020,Pupil referral unit,64.8
359,202021,E08000020,Special school,44.8
360,202021,E08000020,State-funded nursery,0.0
361,202021,E08000020,State-funded primary,25.2
362,202021,E08000020,State-funded secondary,21.6
363,202021,E08000020,Total,24.2
364,202021,E08000021,Pupil referral unit,65.1
365,202021,E08000021,Special school,54.6
366,202021,E08000021,State-funded nursery,19.8
367,202021,E08000021,State-funded primary,36.2
368,202021,E08000021,State-funded secondary,32.7
369,202021,E08000021,Total,35.0
370,202021,E08000022,Pupil referral unit,50.5
371,202021,E08000022,Special school,39.0
372,202021,E08000022,State-funded nursery,0.0
373,202021,E08000022,State-funded primary,22.7
374,202021,E08000022,State-funded secondary,16.9
375,202021,E08000022,Total,20.6
376,202021,E08000023,Pupil referral unit,54.0
377,202021,E08000023,Special school,52.2
378,202021,E08000023,State-funded nursery,0.4
379,202021,E08000023,State-funded primary,28.9
380,202021,E08000023,State-funded secondary,23.6
381,202021,E08000023,Total,27.1
382,202021,E08000024,Pupil referral unit,65.9
383,202021,E08000024,Special school,52.4
384,202021,E08000024,State-funded nursery,5.4
385,202021,E08000024,State-funded primary,26.1
386,202021,E08000024,State-funded secondary,28.0
387,202021,E08000024,Total,27.1
388,202021,E06000001,Pupil referral unit,66.7
389,202021,E06000001,Special school,54.8
390,202021,E06000001,State-funded primary,33.2
391,202021,E06000001,State-funded secondary,33.7
392,202021,E06000001,Total,33.8
393,202021,E06000002,Pupil referral unit,56.6
394,202021,E06000002,Special school,54.0
395,202021,E06000002,State-funded primary,33.6
396,202021,E06000002,State-funded secondary,33.5
397,202021,E06000002,Total,34.1
398,202021,E06000003,Pupil referral unit,60.3
399,202021,E06000003,Special school,48.4
400,202021,E06000003,State-funded primary,26.2
401,202021,E06000003,State-funded secondary,24.0
402,202021,E06000003,Total,25.9
403,202021,E06000004,Pupil referral unit,65.4
404,202021,E06000004,Special school,49.6
405,202021,E06000004,State-funded primary,23.1
406,202021,E06000004,State-funded secondary,22.3
407,202021,E06000004,Total,23.4
408,202021,E06000047,Pupil referral unit,41.7
409,202021,E06000047,Special school,53.0
410,202021,E06000047,State-funded nursery,0.0
411,202021,E06000047,State-funded primary,28.6
412,202021,E06000047,State-funded secondary,22.7
413,202021,E06000047,Total,26.4
414,202021,E06000005,Pupil referral unit,55.6
415,202021,E06000005,Special school,51.5
416,202021,E06000005,State-funded nursery,0.0
417,202021,E06000005,State-funded primary,27.0
418,202021,E06000005,State-funded secondary,20.4
419,202021,E06000005,Total,24.5
420,202021,E06000048,Pupil referral unit,33.3
421,202021,E06000048,Special school,45.4
422,202021,E06000048,State-funded primary,19.6
423,202021,E06000048,State-funded secondary,16.6
424,202021,E06000048,Total,18.7
425,202021,E08000011,Pupil referral unit,73.9
426,202021,E08000011,Special school,55.8
427,202021,E08000011,State-funded primary,33.9
428,202021,E08000011,State-funded secondary,42.4
429,202021,E08000011,Total,37.0
430,202021,E08000012,Pupil referral unit,23.1
431,202021,E08000012,Special school,51.7
432,202021,E08000012,State-funded nursery,4.4
433,202021,E08000012,State-funded primary,30.3
434,202021,E08000012,State-funded secondary,27.9
435,202021,E08000012,Total,29.5
436,202021,E08000013,Pupil referral unit,45.2
437,202021,E08000013,Special school,40.7
438,202021,E08000013,State-funded nursery,0.0
439,202021,E08000013,State-funded primary,21.8
440,202021,E08000013,State-funded secondary,21.7
441,202021,E08000013,Total,22.1
442,202021,E08000014,Pupil referral unit,55.4
443,202021,E08000014,Special school,44.9
444,202021,E08000014,State-funded nursery,0.0
445,202021,E08000014,State-funded primary,20.6
446,202021,E08000014,State-funded secondary,18.7
447,202021,E08000014,Total,20.3
448,202021,E08000015,Special school,48.2
449,202021,E08000015,State-funded nursery,10.1
450,202021,E08000015,State-funded primary,25.5
451,202021,E08000015,State-funded secondary,21.0
452,202021,E08000015,Total,24.0
453,202021,E08000001,Pupil referral unit,55.0
454,202021,E08000001,Special school,38.5
455,202021,E08000001,State-funded nursery,0.4
456,202021,E08000001,State-funded primary,22.8
457,202021,E08000001,State-funded secondary,22.9
458,202021,E08000001,Total,23.1
459,202021,E08000002,Pupil referral unit,52.6
460,202021,E08000002,Special school,37.2
461,202021,E08000002,State-funded nursery,44.7
462,202021,E08000002,State-funded primary,19.7
463,202021,E08000002,State-funded secondary,19.3
464,202021,E08000002,Total,20.0
465,202021,E08000003,Pupil referral unit,77.7
466,202021,E08000003,Special school,56.8
467,202021,E08000003,State-funded nursery,17.0
468,202021,E08000003,State-funded primary,35.5
469,202021,E08000003,State-funded secondary,34.9
470,202021,E08000003,Total,35.8
471,202021,E08000004,Pupil referral unit,27.7
472,202021,E08000004,Special school,39.1
473,202021,E08000004,State-funded primary,24.3
474,202021,E08000004,State-funded secondary,23.5
475,202021,E08000004,Total,24.3
476,202021,E08000005,Pupil referral unit,65.6
477,202021,E08000005,Special school,42.8
478,202021,E08000005,State-funded nursery,0.0
479,202021,E08000005,State-funded primary,24.1
480,202021,E08000005,State-funded secondary,26.0
481,202021,E08000005,Total,25.2
482,202021,E08000006,Pupil referral unit,56.0
483,202021,E08000006,Special school,53.7
484,202021,E08000006,State-funded primary,28.7
485,202021,E08000006,State-funded secondary,29.8
486,202021,E08000006,Total,29.7
487,202021,E08000007,Pupil referral unit,54.9
488,202021,E08000007,Special school,35.6
489,202021,E08000007,State-funded nursery,11.6
490,202021,E08000007,State-funded primary,15.6
491,202021,E08000007,State-funded secondary,16.9
492,202021,E08000007,Total,16.5
493,202021,E08000008,Pupil referral unit,45.3
494,202021,E08000008,Special school,39.9
495,202021,E08000008,State-funded primary,26.0
496,202021,E08000008,State-funded secondary,22.4
497,202021,E08000008,Total,24.9
498,202021,E08000009,Pupil referral unit,38.7
499,202021,E08000009,Special school,38.2
500,202021,E08000009,State-funded primary,12.8
501,202021,E08000009,State-funded secondary,11.5
502,202021,E08000009,Total,12.7
503,202021,E08000010,Pupil referral unit,55.1
504,202021,E08000010,Special school,41.1
505,202021,E08000010,State-funded nursery,0.0
506,202021,E08000010,State-funded primary,23.6
507,202021,E08000010,State-funded secondary,19.6
508,202021,E08000010,Total,22.3
509,202021,E06000006,Pupil referral unit,68.8
510,202021,E06000006,Special school,50.3
511,202021,E06000006,State-funded nursery,0.0
512,202021,E06000006,State-funded primary,34.8
513,202021,E06000006,State-funded secondary,33.2
514,202021,E06000006,Total,34.2
515,202021,E06000007,Pupil referral unit,0.0
516,202021,E06000007,Special school,47.5
517,202021,E06000007,State-funded nursery,1.1
518,202021,E06000007,State-funded primary,19.8
519,202021,E06000007,State-funded secondary,14.7
520,202021,E06000007,Total,18.0
521,202021,E10000017,Pupil referral unit,53.9
522,202021,E10000017,Special school,41.1
523,202021,E10000017,State-funded nursery,0.0
524,202021,E10000017,State-funded primary,19.5
525,202021,E10000017,State-funded secondary,18.0
526,202021,E10000017,Total,19.2
527,202021,E06000008,Pupil referral unit,77.9
528,202021,E06000008,Special school,36.7
529,202021,E06000008,State-funded nursery,0.0
530,202021,E06000008,State-funded primary,21.4
531,202021,E06000008,State-funded secondary,21.3
532,202021,E06000008,Total,21.6
533,202021,E06000009,Pupil referral unit,56.9
534,202021,E06000009,Special school,51.5
535,202021,E06000009,State-funded primary,35.6
536,202021,E06000009,State-funded secondary,37.2
537,202021,E06000009,Total,36.8
538,202021,E06000049,Pupil referral unit,45.9
539,202021,E06000049,Special school,33.9
540,202021,E06000049,State-funded nursery,0.0
541,202021,E06000049,State-funded primary,13.7
542,202021,E06000049,State-funded secondary,12.0
543,202021,E06000049,Total,13.2
544,202021,E06000050,Pupil referral unit,35.3
545,202021,E06000050,Special school,41.7
546,202021,E06000050,State-funded nursery,0.0
547,202021,E06000050,State-funded primary,16.9
548,202021,E06000050,State-funded secondary,15.4
549,202021,E06000050,Total,16.8
550,202021,E10000006,Pupil referral unit,51.9
551,202021,E10000006,Special school,34.1
552,202021,E10000006,State-funded nursery,0.8
553,202021,E10000006,State-funded primary,15.2
554,202021,E10000006,State-funded secondary,13.6
555,202021,E10000006,Total,14.7
817,202021,E08000016,Pupil referral unit,69.6
818,202021,E08000016,Special school,52.6
819,202021,E08000016,State-funded primary,25.7
820,202021,E08000016,State-funded secondary,23.7
821,202021,E08000016,Total,25.3
822,202021,E08000017,Pupil referral unit,45.0
823,202021,E08000017,Special school,39.8
824,202021,E08000017,State-funded primary,24.7
825,202021,E08000017,State-funded secondary,22.7
826,202021,E08000017,Total,24.1
827,202021,E08000018,Pupil referral unit,59.3
828,202021,E08000018,Special school,41.1
829,202021,E08000018,State-funded nursery,0.0
830,202021,E08000018,State-funded primary,21.8
831,202021,E08000018,State-funded secondary,20.7
832,202021,E08000018,Total,21.7
833,202021,E08000019,Pupil referral unit,62.4
834,202021,E08000019,Special school,49.7
835,202021,E08000019,State-funded nursery,29.1
836,202021,E08000019,State-funded primary,28.1
837,202021,E08000019,State-funded secondary,24.5
838,202021,E08000019,Total,27.0
839,202021,E08000032,Pupil referral unit,56.7
840,202021,E08000032,Special school,36.3
841,202021,E08000032,State-funded nursery,4.5
842,202021,E08000032,State-funded primary,22.9
843,202021,E08000032,State-funded secondary,24.5
844,202021,E08000032,Total,23.7
845,202021,E08000033,Pupil referral unit,57.8
846,202021,E08000033,Special school,44.5
847,202021,E08000033,State-funded primary,21.8
848,202021,E08000033,State-funded secondary,18.9
849,202021,E08000033,Total,20.8
850,202021,E08000034,Pupil referral unit,78.1
851,202021,E08000034,Special school,45.9
852,202021,E08000034,State-funded nursery,0.0
853,202021,E08000034,State-funded primary,21.5
854,202021,E08000034,State-funded secondary,24.2
855,202021,E08000034,Total,22.9
856,202021,E08000035,Pupil referral unit,50.0
857,202021,E08000035,Special school,46.5
858,202021,E08000035,State-funded primary,22.7
859,202021,E08000035,State-funded secondary,22.1
860,202021,E08000035,Total,22.8
861,202021,E08000036,Pupil referral unit,55.6
862,202021,E08000036,Special school,43.9
863,202021,E08000036,State-funded nursery,0.0
864,202021,E08000036,State-funded primary,19.2
865,202021,E08000036,State-funded secondary,18.5
866,202021,E08000036,Total,19.3
867,202021,E06000010,Pupil referral unit,54.5
868,202021,E06000010,Special school,51.3
869,202021,E06000010,State-funded nursery,8.3
870,202021,E06000010,State-funded primary,28.9
871,202021,E06000010,State-funded secondary,26.8
872,202021,E06000010,Total,28.6
873,202021,E06000011,Pupil referral unit,58.9
874,202021,E06000011,Special school,33.6
875,202021,E06000011,State-funded nursery,0.0
876,202021,E06000011,State-funded primary,16.4
877,202021,E06000011,State-funded secondary,16.0
878,202021,E06000011,Total,16.3
879,202021,E06000012,Pupil referral unit,63.5
880,202021,E06000012,Special school,45.5
881,202021,E06000012,State-funded nursery,0.0
882,202021,E06000012,State-funded primary,26.7
883,202021,E06000012,State-funded secondary,23.8
884,202021,E06000012,Total,25.9
885,202021,E06000013,Pupil referral unit,100.0
886,202021,E06000013,Special school,37.6
887,202021,E06000013,State-funded primary,23.0
888,202021,E06000013,State-funded secondary,22.0
889,202021,E06000013,Total,22.7
890,202021,E10000023,Pupil referral unit,50.0
891,202021,E10000023,Special school,35.4
892,202021,E10000023,State-funded nursery,7.1
893,202021,E10000023,State-funded primary,14.3
894,202021,E10000023,State-funded secondary,11.0
895,202021,E10000023,Total,13.1
896,202021,E06000014,Pupil referral unit,42.5
897,202021,E06000014,Special school,29.2
898,202021,E06000014,State-funded nursery,0.0
899,202021,E06000014,State-funded primary,12.5
900,202021,E06000014,State-funded secondary,11.0
901,202021,E06000014,Total,12.2
974,201920,E06000007,Total,15.6
975,201920,E08000012,Total,26.9
976,201920,E08000032,Total,20.7
978,201920,E08000007,Total,14.5
979,201920,E06000008,Total,19.3
980,201920,E06000014,Total,10.5
981,201920,E08000009,Total,10.9
985,201920,E06000003,Total,22.8
986,201920,E08000016,Total,22.5
987,201920,E08000036,Total,17.2
997,201920,E08000006,Total,26.9
1000,201920,E06000009,Total,32.4
1003,201920,E06000049,Total,11.3
1008,201920,E06000004,Total,20.3
1015,201920,E10000017,Total,17.2
1016,201920,E10000023,Total,11.4
1024,201920,E08000001,Total,20.3
1025,201920,E06000010,Total,25.6
1037,201920,E10000006,Total,12.7
1039,201920,E06000047,Total,23.7
1041,201920,E08000017,Total,20.4
1052,201920,E08000035,Total,20.1
1053,201920,E06000002,Total,30.3
1056,201920,E08000002,Total,17.8
1057,201920,E08000018,Total,19.3
1058,201920,E08000020,Total,21.3
1061,201920,E08000021,Total,31.8
1068,201920,E06000001,Total,30.9
1071,201920,E08000015,Total,21.5
1077,201920,E08000010,Total,19.5
1078,201920,E06000011,Total,14.7
1079,201920,E06000005,Total,21.3
1081,201920,E06000012,Total,22.6
1087,201920,E08000023,Total,24.9
1091,201920,E08000003,Total,31.5
1092,201920,E06000013,Total,19.6
1093,201920,E06000048,Total,16.5
1094,201920,E08000011,Total,34.1
1095,201920,E08000019,Total,24.7
1098,201920,E08000024,Total,24.2
1100,201920,E08000014,Total,18.5
1102,201920,E08000034,Total,21.0
1104,201920,E06000050,Total,14.8
1107,201920,E08000013,Total,19.4
1108,201920,E08000033,Total,19.1
1109,201920,E08000008,Total,21.9
1117,201920,E08000004,Total,21.3
1118,201920,E06000006,Total,31.1
1119,201920,E08000005,Total,22.9
1120,201920,E08000022,Total,18.2
1123,201920,E06000007,Non-maintained special school,94.7
1126,201920,E08000012,Non-maintained special school,8.8
1127,201920,E08000033,Non-maintained special school,70.0
1128,201920,E06000049,Non-maintained special school,0.0
1130,201920,E08000017,Non-maintained special school,43.3
1133,201920,E08000007,Non-maintained special school,20.1
1134,201920,E10000023,Non-maintained special school,15.0
1144,201920,E08000019,Non-maintained special school,21.9
1145,201920,E08000021,Non-maintained special school,24.4
1149,201920,E08000001,Non-maintained special school,0.0
1151,201920,E06000048,Non-maintained special school,27.9
1152,201920,E08000022,Non-maintained special school,24.1
1153,201920,E08000013,Non-maintained special school,0.0
1154,201920,E08000014,Non-maintained special school,12.5
1155,201920,E08000035,Non-maintained special school,26.8
1158,201920,E08000034,Non-maintained special school,4.2
1159,201920,E08000015,Non-maintained special school,20.0
1160,201920,E08000009,Non-maintained special school,27.7
1164,201920,E06000007,Pupil referral unit,36.4
1167,201920,E10000017,Pupil referral unit,47.1
1168,201920,E08000012,Pupil referral unit,30.8
1169,201920,E08000033,Pupil referral unit,57.4
1170,201920,E08000008,Pupil referral unit,45.2
1171,201920,E06000014,Pupil referral unit,37.7
1172,201920,E08000010,Pupil referral unit,46.7
1173,201920,E06000049,Pupil referral unit,20.0
1177,201920,E06000004,Pupil referral unit,53.0
1178,201920,E08000017,Pupil referral unit,40.5
1179,201920,E06000010,Pupil referral unit,51.1
1187,201920,E08000007,Pupil referral unit,50.0
1188,201920,E10000023,Pupil referral unit,44.9
1190,201920,E06000009,Pupil referral unit,56.0
1197,201920,E06000047,Pupil referral unit,34.0
1203,201920,E06000008,Pupil referral unit,57.3
1212,201920,E08000002,Pupil referral unit,45.5
1213,201920,E06000011,Pupil referral unit,49.2
1214,201920,E08000020,Pupil referral unit,51.9
1219,201920,E08000016,Pupil referral unit,47.4
1224,201920,E06000005,Pupil referral unit,52.9
1225,201920,E08000018,Pupil referral unit,55.3
1239,201920,E08000036,Pupil referral unit,48.1
1240,201920,E06000003,Pupil referral unit,62.4
1243,201920,E08000003,Pupil referral unit,74.8
1244,201920,E08000019,Pupil referral unit,60.6
1246,201920,E08000021,Pupil referral unit,54.3
1255,201920,E06000001,Pupil referral unit,77.8
1256,201920,E06000002,Pupil referral unit,49.2
1263,201920,E06000006,Pupil referral unit,63.3
1264,201920,E06000012,Pupil referral unit,56.2
1266,201920,E06000013,Pupil referral unit,83.3
1267,201920,E08000022,Pupil referral unit,49.4
1272,201920,E08000024,Pupil referral unit,61.8
1275,201920,E06000048,Pupil referral unit,77.8
1276,201920,E08000004,Pupil referral unit,23.1
1277,201920,E08000011,Pupil referral unit,72.3
1278,201920,E08000005,Pupil referral unit,51.1
1279,201920,E08000032,Pupil referral unit,55.9
1283,201920,E08000013,Pupil referral unit,22.0
1285,201920,E08000014,Pupil referral unit,45.2
1286,201920,E08000035,Pupil referral unit,55.6
1288,201920,E08000001,Pupil referral unit,47.5
1289,201920,E06000050,Pupil referral unit,40.0
1294,201920,E08000034,Pupil referral unit,62.3
1295,201920,E08000009,Pupil referral unit,38.9
1297,201920,E10000006,Pupil referral unit,36.9
1301,201920,E08000006,Pupil referral unit,57.4
1302,201920,E08000023,Pupil referral unit,51.6
1305,201920,E06000007,State-funded nursery,1.0
1307,201920,E10000017,State-funded nursery,0.0
1308,201920,E08000012,State-funded nursery,5.2
1310,201920,E06000014,State-funded nursery,2.2
1311,201920,E06000049,State-funded nursery,0.0
1320,201920,E08000007,State-funded nursery,6.6
1321,201920,E10000023,State-funded nursery,3.9
1327,201920,E08000001,State-funded nursery,0.3
1328,201920,E06000010,State-funded nursery,10.3
1333,201920,E06000008,State-funded nursery,0.0
1340,201920,E08000002,State-funded nursery,37.5
1341,201920,E10000006,State-funded nursery,1.9
1342,201920,E08000020,State-funded nursery,0.0
1343,201920,E06000047,State-funded nursery,0.0
1352,201920,E06000011,State-funded nursery,0.0
1353,201920,E06000005,State-funded nursery,0.0
1354,201920,E08000018,State-funded nursery,0.0
1361,201920,E08000036,State-funded nursery,0.0
1366,201920,E08000003,State-funded nursery,24.2
1367,201920,E08000019,State-funded nursery,22.4
1369,201920,E08000021,State-funded nursery,18.5
1374,201920,E08000015,State-funded nursery,9.4
1376,201920,E08000010,State-funded nursery,0.5
1377,201920,E06000006,State-funded nursery,0.0
1378,201920,E06000012,State-funded nursery,1.7
1379,201920,E08000022,State-funded nursery,0.0
1384,201920,E08000032,State-funded nursery,3.5
1387,201920,E08000024,State-funded nursery,0.4
1388,201920,E08000014,State-funded nursery,0.3
1390,201920,E06000050,State-funded nursery,0.0
1395,201920,E08000013,State-funded nursery,0.0
1396,201920,E08000034,State-funded nursery,0.0
1402,201920,E08000005,State-funded nursery,0.0
1403,201920,E08000023,State-funded nursery,2.8
1406,201920,E10000017,State-funded primary,17.5
1407,201920,E08000012,State-funded primary,27.4
1410,201920,E08000008,State-funded primary,23.0
1411,201920,E06000014,State-funded primary,11.0
1412,201920,E06000049,State-funded primary,11.5
1416,201920,E06000004,State-funded primary,20.0
1417,201920,E08000017,State-funded primary,20.5
1426,201920,E08000033,State-funded primary,20.2
1427,201920,E10000023,State-funded primary,12.6
1429,201920,E06000009,State-funded primary,30.8
1437,201920,E08000001,State-funded primary,19.8
1438,201920,E06000010,State-funded primary,25.8
1444,201920,E08000007,State-funded primary,13.8
1445,201920,E06000008,State-funded primary,19.3
1454,201920,E08000002,State-funded primary,17.4
1455,201920,E10000006,State-funded primary,13.3
1456,201920,E08000020,State-funded primary,22.2
1465,201920,E06000011,State-funded primary,15.4
1466,201920,E06000047,State-funded primary,25.9
1467,201920,E06000005,State-funded primary,23.1
1468,201920,E08000018,State-funded primary,19.4
1482,201920,E08000036,State-funded primary,17.2
1483,201920,E06000003,State-funded primary,23.0
1487,201920,E08000003,State-funded primary,31.2
1497,201920,E06000001,State-funded primary,30.1
1499,201920,E08000015,State-funded primary,22.8
1505,201920,E08000010,State-funded primary,20.6
1506,201920,E08000019,State-funded primary,25.8
1507,201920,E06000012,State-funded primary,23.6
1508,201920,E08000021,State-funded primary,33.5
1509,201920,E06000013,State-funded primary,19.9
1510,201920,E08000022,State-funded primary,19.3
1520,201920,E06000048,State-funded primary,17.3
1521,201920,E08000004,State-funded primary,21.0
1522,201920,E08000011,State-funded primary,31.3
1523,201920,E08000032,State-funded primary,19.8
1527,201920,E08000024,State-funded primary,23.2
1529,201920,E06000002,State-funded primary,29.5
1530,201920,E08000014,State-funded primary,19.1
1532,201920,E06000050,State-funded primary,15.1
1537,201920,E08000013,State-funded primary,19.2
1538,201920,E08000034,State-funded primary,19.1
1539,201920,E08000009,State-funded primary,10.9
1540,201920,E08000035,State-funded primary,20.3
1544,201920,E08000016,State-funded primary,22.9
1548,201920,E06000006,State-funded primary,32.2
1550,201920,E08000005,State-funded primary,22.3
1551,201920,E08000006,State-funded primary,25.8
1552,201920,E06000007,State-funded primary,17.1
1553,201920,E08000023,State-funded primary,26.1
1558,201920,E06000007,State-funded secondary,12.6
1559,201920,E08000012,State-funded secondary,25.5
1562,201920,E08000008,State-funded secondary,19.3
1563,201920,E06000014,State-funded secondary,9.0
1564,201920,E06000049,State-funded secondary,10.5
1568,201920,E06000004,State-funded secondary,19.4
1577,201920,E08000006,State-funded secondary,27.4
1578,201920,E08000033,State-funded secondary,16.9
1579,201920,E10000023,State-funded secondary,9.3
1580,201920,E06000009,State-funded secondary,33.3
1586,201920,E08000001,State-funded secondary,20.4
1587,201920,E06000010,State-funded secondary,24.0
1595,201920,E10000017,State-funded secondary,16.0
1606,201920,E10000006,State-funded secondary,11.4
1607,201920,E08000020,State-funded secondary,18.6
1616,201920,E06000011,State-funded secondary,13.7
1617,201920,E06000047,State-funded secondary,20.0
1618,201920,E08000017,State-funded secondary,19.5
1624,201920,E06000008,State-funded secondary,19.1
1631,201920,E08000036,State-funded secondary,16.3
1632,201920,E06000002,State-funded secondary,30.2
1633,201920,E06000003,State-funded secondary,21.0
1635,201920,E08000002,State-funded secondary,17.3
1636,201920,E08000003,State-funded secondary,30.7
1637,201920,E08000018,State-funded secondary,18.4
1647,201920,E06000001,State-funded secondary,31.0
1648,201920,E08000015,State-funded secondary,18.7
1653,201920,E08000010,State-funded secondary,17.1
1654,201920,E06000012,State-funded secondary,20.1
1655,201920,E08000021,State-funded secondary,28.7
1656,201920,E06000005,State-funded secondary,17.7
1658,201920,E08000022,State-funded secondary,15.6
1666,201920,E06000048,State-funded secondary,14.6
1667,201920,E06000013,State-funded secondary,18.7
1668,201920,E08000011,State-funded secondary,38.7
1669,201920,E08000019,State-funded secondary,22.0
1670,201920,E08000032,State-funded secondary,21.9
1675,201920,E08000024,State-funded secondary,25.3
1677,201920,E08000014,State-funded secondary,16.8
1680,201920,E06000050,State-funded secondary,13.2
1683,201920,E08000013,State-funded secondary,19.1
1684,201920,E08000007,State-funded secondary,14.6
1685,201920,E08000034,State-funded secondary,22.8
1686,201920,E08000009,State-funded secondary,9.8
1687,201920,E08000035,State-funded secondary,19.0
1692,201920,E08000016,State-funded secondary,20.7
1699,201920,E08000004,State-funded secondary,20.8
1700,201920,E06000006,State-funded secondary,29.5
