geography_code,date,phase_type_grouping,fsm,value,variable_name,count
E12000002,202122,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),24.5,percent_of_pupils,56
E12000002,202122,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),53.8,percent_of_pupils,56
E12000002,202122,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.7,percent_of_pupils,56
E12000002,202122,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),25.5,percent_of_pupils,56
E12000002,202122,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),23.4,percent_of_pupils,56
E12000002,202122,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),41.8,percent_of_pupils,56
E12000002,202122,Total,known to be eligible for free school meals (used for FSM in Performance Tables),12.4,percent_of_pupils,56
E12000002,202021,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),23.1,percent_of_pupils,56
E12000002,202021,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),53.2,percent_of_pupils,56
E12000002,202021,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.1,percent_of_pupils,56
E12000002,202021,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),24.2,percent_of_pupils,56
E12000002,202021,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),21.2,percent_of_pupils,56
E12000002,202021,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),41.3,percent_of_pupils,56
E12000002,202021,Total,known to be eligible for free school meals (used for FSM in Performance Tables),11.6,percent_of_pupils,56
E12000002,201920,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),16.2,percent_of_pupils,56
E12000002,201920,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),47.1,percent_of_pupils,56
E12000002,201920,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.0,percent_of_pupils,56
E12000002,201920,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),20.2,percent_of_pupils,56
E12000002,201920,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),18.2,percent_of_pupils,56
E12000002,201920,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),38.5,percent_of_pupils,56
E12000002,201920,Total,known to be eligible for free school meals (used for FSM in Performance Tables),9.8,percent_of_pupils,56
E12000002,201819,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.1,percent_of_pupils,56
E12000002,201819,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),18.3,percent_of_pupils,56
E12000002,201819,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),46.7,percent_of_pupils,56
E12000002,201819,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),18.0,percent_of_pupils,56
E12000002,201819,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),16.1,percent_of_pupils,56
E12000002,201819,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),36.8,percent_of_pupils,56
E12000002,201819,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.8,percent_of_pupils,56
E12000002,201718,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),16.1,percent_of_pupils,56
E12000002,201718,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),14.3,percent_of_pupils,56
E12000002,201718,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),35.0,percent_of_pupils,56
E12000002,201718,Total,known to be eligible for free school meals (used for FSM in Performance Tables),7.8,percent_of_pupils,56
E12000002,201718,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),44.3,percent_of_pupils,56
E12000002,201718,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.8,percent_of_pupils,56
E12000002,201718,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),19.9,percent_of_pupils,56
E12000002,201617,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),25.7,percent_of_pupils,56
E12000002,201617,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),42.1,percent_of_pupils,56
E12000002,201617,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.1,percent_of_pupils,56
E12000002,201617,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),16.1,percent_of_pupils,56
E12000002,201617,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),14.4,percent_of_pupils,56
E12000002,201617,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),35.2,percent_of_pupils,56
E12000002,201617,Total,known to be eligible for free school meals (used for FSM in Performance Tables),7.8,percent_of_pupils,56
E12000002,201516,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),16.4,percent_of_pupils,56
E12000002,201516,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.3,percent_of_pupils,56
E12000002,201516,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),19.3,percent_of_pupils,56
E12000002,201516,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),35.3,percent_of_pupils,56
E12000002,201516,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.0,percent_of_pupils,56
E12000002,201516,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),14.5,percent_of_pupils,56
E12000002,201516,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),43.1,percent_of_pupils,56
E12000003,202223,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),29.7,percent_of_pupils,56
E12000003,202223,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),63.5,percent_of_pupils,56
E12000003,202223,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.7,percent_of_pupils,56
E12000003,202223,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),25.3,percent_of_pupils,56
E12000003,202223,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),24.2,percent_of_pupils,56
E12000003,202223,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),41.3,percent_of_pupils,56
E12000003,202223,Total,known to be eligible for free school meals (used for FSM in Performance Tables),12.5,percent_of_pupils,56
E12000003,202122,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),34.0,percent_of_pupils,56
E12000003,202122,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),60.6,percent_of_pupils,56
E12000003,202122,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.5,percent_of_pupils,56
E12000003,202122,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),24.5,percent_of_pupils,56
E12000003,202122,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),22.5,percent_of_pupils,56
E12000003,202122,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),40.1,percent_of_pupils,56
E12000003,202122,Total,known to be eligible for free school meals (used for FSM in Performance Tables),11.9,percent_of_pupils,56
E12000003,202021,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),31.8,percent_of_pupils,56
E12000003,202021,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),57.7,percent_of_pupils,56
E12000003,202021,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.7,percent_of_pupils,56
E12000003,202021,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),23.1,percent_of_pupils,56
E12000003,202021,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),20.4,percent_of_pupils,56
E12000003,202021,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),38.7,percent_of_pupils,56
E12000003,202021,Total,known to be eligible for free school meals (used for FSM in Performance Tables),11.1,percent_of_pupils,56
E12000003,201920,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),51.0,percent_of_pupils,56
E12000003,201920,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),29.0,percent_of_pupils,56
E12000003,201920,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.6,percent_of_pupils,56
E12000003,201920,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),17.5,percent_of_pupils,56
E12000003,201920,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),35.9,percent_of_pupils,56
E12000003,201920,Total,known to be eligible for free school meals (used for FSM in Performance Tables),9.4,percent_of_pupils,56
E12000003,201920,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),19.2,percent_of_pupils,56
E12000003,201819,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),15.4,percent_of_pupils,56
E12000003,201819,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),34.3,percent_of_pupils,56
E12000003,201819,Total,known to be eligible for free school meals (used for FSM in Performance Tables),8.4,percent_of_pupils,56
E12000003,201819,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),30.5,percent_of_pupils,56
E12000003,201819,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),48.0,percent_of_pupils,56
E12000003,201819,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.1,percent_of_pupils,56
E12000003,201819,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),17.2,percent_of_pupils,56
E12000003,201718,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),24.7,percent_of_pupils,56
E12000003,201718,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),42.4,percent_of_pupils,56
E12000003,201718,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.3,percent_of_pupils,56
E12000003,201718,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),15.3,percent_of_pupils,56
E12000003,201718,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),13.8,percent_of_pupils,56
E12000003,201718,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),32.3,percent_of_pupils,56
E12000003,201718,Total,known to be eligible for free school meals (used for FSM in Performance Tables),7.4,percent_of_pupils,56
E12000003,201617,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),33.1,percent_of_pupils,56
E12000003,201617,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),45.6,percent_of_pupils,56
E12000003,201617,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.2,percent_of_pupils,56
E12000003,201617,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),15.5,percent_of_pupils,56
E12000003,201617,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),13.9,percent_of_pupils,56
E12000003,201617,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),33.3,percent_of_pupils,56
E12000003,201617,Total,known to be eligible for free school meals (used for FSM in Performance Tables),7.5,percent_of_pupils,56
E12000003,201516,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),15.3,percent_of_pupils,56
E12000003,201516,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),26.4,percent_of_pupils,56
E12000003,201516,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),45.1,percent_of_pupils,56
E12000003,201516,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.1,percent_of_pupils,56
E12000003,201516,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),33.1,percent_of_pupils,56
E12000003,201516,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),13.6,percent_of_pupils,56
E12000003,201516,Total,known to be eligible for free school meals (used for FSM in Performance Tables),7.4,percent_of_pupils,56
E08000012,202223,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),35.5,percent_of_pupils,56
E08000012,202223,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),33.8,percent_of_pupils,56
E08000012,202223,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),58.2,percent_of_pupils,56
E08000012,202223,Total,known to be eligible for free school meals (used for FSM in Performance Tables),35.2,percent_of_pupils,56
E08000012,202223,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),27.8,percent_of_pupils,56
E08000012,202223,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),44.8,percent_of_pupils,56
E08000012,202223,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.8,percent_of_pupils,56
E08000012,202122,Total,known to be eligible for free school meals (used for FSM in Performance Tables),34.5,percent_of_pupils,56
E08000012,202122,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),34.9,percent_of_pupils,56
E08000012,202122,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),32.9,percent_of_pupils,56
E08000012,202122,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),57.7,percent_of_pupils,56
E08000012,202122,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),24.7,percent_of_pupils,56
E08000012,202122,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),41.6,percent_of_pupils,56
E08000012,202122,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.9,percent_of_pupils,56
E08000012,202021,Total,known to be eligible for free school meals (used for FSM in Performance Tables),33.2,percent_of_pupils,56
E08000012,202021,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),39.6,percent_of_pupils,56
E08000012,202021,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),34.0,percent_of_pupils,56
E08000012,202021,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),30.9,percent_of_pupils,56
E08000012,202021,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),57.8,percent_of_pupils,56
E08000012,202021,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),2.2,percent_of_pupils,56
E08000012,202021,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),26.8,percent_of_pupils,56
E08000012,201920,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),8.8,percent_of_pupils,56
E08000012,201920,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),26.0,percent_of_pupils,56
E08000012,201920,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),2.7,percent_of_pupils,56
E08000012,201920,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),28.8,percent_of_pupils,56
E08000012,201920,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),27.5,percent_of_pupils,56
E08000012,201920,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),53.2,percent_of_pupils,56
E08000012,201920,Total,known to be eligible for free school meals (used for FSM in Performance Tables),28.7,percent_of_pupils,56
E08000012,201819,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),1.0,percent_of_pupils,56
E08000012,201819,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),27.3,percent_of_pupils,56
E08000012,201819,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),26.3,percent_of_pupils,56
E08000012,201819,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),52.5,percent_of_pupils,56
E08000012,201819,Total,known to be eligible for free school meals (used for FSM in Performance Tables),27.3,percent_of_pupils,56
E08000012,201819,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),10.1,percent_of_pupils,56
E08000012,201819,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),28.6,percent_of_pupils,56
E08000012,201718,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),37.5,percent_of_pupils,56
E08000012,201718,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),2.2,percent_of_pupils,56
E08000012,201718,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),26.2,percent_of_pupils,56
E08000012,201718,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),24.5,percent_of_pupils,56
E08000012,201718,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),17.6,percent_of_pupils,56
E08000012,201718,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),53.2,percent_of_pupils,56
E08000012,201718,Total,known to be eligible for free school meals (used for FSM in Performance Tables),26.0,percent_of_pupils,56
E08000012,201617,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),22.9,percent_of_pupils,56
E08000012,201617,Total,known to be eligible for free school meals (used for FSM in Performance Tables),26.3,percent_of_pupils,56
E08000012,201617,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),33.9,percent_of_pupils,56
E08000012,201617,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),29.5,percent_of_pupils,56
E08000012,201617,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),26.1,percent_of_pupils,56
E08000012,201617,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),25.4,percent_of_pupils,56
E08000012,201617,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),55.9,percent_of_pupils,56
E08000012,201516,Total,known to be eligible for free school meals (used for FSM in Performance Tables),27.0,percent_of_pupils,56
E08000012,201516,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),25.2,percent_of_pupils,56
E08000012,201516,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),55.5,percent_of_pupils,56
E08000012,201516,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),26.5,percent_of_pupils,56
E08000012,201516,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),26.0,percent_of_pupils,56
E08000012,201516,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),26.8,percent_of_pupils,56
E08000012,201516,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),42.3,percent_of_pupils,56
E08000013,202223,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202223,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),55.3,percent_of_pupils,56
E08000013,202223,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202223,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),27.4,percent_of_pupils,56
E08000013,202223,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),27.2,percent_of_pupils,56
E08000013,202223,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),48.8,percent_of_pupils,56
E08000013,202223,Total,known to be eligible for free school meals (used for FSM in Performance Tables),27.6,percent_of_pupils,56
E08000013,202122,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202122,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),52.8,percent_of_pupils,56
E08000013,202122,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),26.4,percent_of_pupils,56
E08000013,202122,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),25.5,percent_of_pupils,56
E08000013,202122,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),47.8,percent_of_pupils,56
E08000013,202122,Total,known to be eligible for free school meals (used for FSM in Performance Tables),26.3,percent_of_pupils,56
E08000013,202122,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202021,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202021,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),31.6,percent_of_pupils,56
E08000013,202021,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,202021,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),24.5,percent_of_pupils,56
E08000013,202021,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),23.1,percent_of_pupils,56
E08000013,202021,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),49.5,percent_of_pupils,56
E08000013,202021,Total,known to be eligible for free school meals (used for FSM in Performance Tables),24.2,percent_of_pupils,56
E08000013,201920,Total,known to be eligible for free school meals (used for FSM in Performance Tables),20.2,percent_of_pupils,56
E08000013,201920,State-funded AP school,known to be eligible for free school meals (used for FSM in Performance Tables),23.1,percent_of_pupils,56
E08000013,201920,State-funded special school,known to be eligible for free school meals (used for FSM in Performance Tables),44.7,percent_of_pupils,56
E08000013,201920,State-funded nursery,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
E08000013,201920,State-funded primary,known to be eligible for free school meals (used for FSM in Performance Tables),20.1,percent_of_pupils,56
E08000013,201920,State-funded secondary,known to be eligible for free school meals (used for FSM in Performance Tables),19.7,percent_of_pupils,56
E08000013,201920,Non-maintained special school,known to be eligible for free school meals (used for FSM in Performance Tables),0.0,percent_of_pupils,56
