Financial Year,geography_name,geography_code,Age of the Youngest Child in the Family of the Individual,variable_name,value
2000-01,North West,E12000002,16 to 19,Not in low income,171598.0
2000-01,North West,E12000002,5 to 10,Not in low income,833813.0
2000-01,North West,E12000002,No children in the family,Not in low income,2972395.0
2000-01,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,571299.0
2000-01,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,400181.0
2000-01,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,101249.0
2000-01,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,600720.0
2000-01,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2192874.0
2001-02,North East,E12000001,0 to 4,Not in low income,294832.0
2001-02,North East,E12000001,11 to 15,Not in low income,191648.0
2001-02,North East,E12000001,16 to 19,Not in low income,47848.0
2001-02,North East,E12000001,5 to 10,Not in low income,297264.0
2001-02,North East,E12000001,No children in the family,Not in low income,1134099.0
2001-02,North West,E12000002,0 to 4,Not in low income,805953.0
2001-02,North West,E12000002,11 to 15,Not in low income,511665.0
2001-02,North West,E12000002,16 to 19,Not in low income,148749.0
2001-02,North West,E12000002,5 to 10,Not in low income,760160.0
2001-02,North West,E12000002,No children in the family,Not in low income,3035636.0
2001-02,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,625051.0
2001-02,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,392411.0
2001-02,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,132524.0
2001-02,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,516869.0
2001-02,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2176041.0
2002-03,North East,E12000001,0 to 4,Not in low income,298723.0
2002-03,North East,E12000001,11 to 15,Not in low income,167155.0
2002-03,North East,E12000001,16 to 19,Not in low income,57163.0
2002-03,North East,E12000001,5 to 10,Not in low income,227295.0
2002-03,North East,E12000001,No children in the family,Not in low income,1160520.0
2002-03,North West,E12000002,0 to 4,Not in low income,794440.0
2002-03,North West,E12000002,11 to 15,Not in low income,494406.0
2002-03,North West,E12000002,16 to 19,Not in low income,142013.0
2002-03,North West,E12000002,5 to 10,Not in low income,848865.0
2002-03,North West,E12000002,No children in the family,Not in low income,3109212.0
2002-03,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,653923.0
2002-03,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,377636.0
2002-03,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,117415.0
2002-03,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,520190.0
2002-03,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2291749.0
2003-04,North East,E12000001,0 to 4,Not in low income,265906.0
2003-04,North East,E12000001,11 to 15,Not in low income,217157.0
2003-04,North East,E12000001,16 to 19,Not in low income,55019.0
2003-04,North East,E12000001,5 to 10,Not in low income,261529.0
2003-04,North East,E12000001,No children in the family,Not in low income,1176812.0
2003-04,North West,E12000002,0 to 4,Not in low income,901859.0
2003-04,North West,E12000002,11 to 15,Not in low income,457851.0
2003-04,North West,E12000002,16 to 19,Not in low income,158008.0
2003-04,North West,E12000002,5 to 10,Not in low income,774487.0
2003-04,North West,E12000002,No children in the family,Not in low income,3124443.0
2003-04,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,627184.0
2003-04,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,355184.0
2003-04,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,150418.0
2003-04,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,554094.0
2003-04,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2299463.0
2004-05,North East,E12000001,0 to 4,Not in low income,292232.0
2004-05,North East,E12000001,11 to 15,Not in low income,176645.0
2004-05,North East,E12000001,16 to 19,Not in low income,48938.0
2004-05,North East,E12000001,5 to 10,Not in low income,245347.0
2004-05,North East,E12000001,No children in the family,Not in low income,1201824.0
2004-05,North West,E12000002,0 to 4,Not in low income,860616.0
2004-05,North West,E12000002,11 to 15,Not in low income,514176.0
2004-05,North West,E12000002,16 to 19,Not in low income,167116.0
2004-05,North West,E12000002,5 to 10,Not in low income,787009.0
2004-05,North West,E12000002,No children in the family,Not in low income,3174869.0
2004-05,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,690322.0
2004-05,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,355617.0
2004-05,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,92565.0
2004-05,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,571828.0
2004-05,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2372603.0
2005-06,North East,E12000001,0 to 4,Not in low income,295842.0
2005-06,North East,E12000001,11 to 15,Not in low income,190325.0
2005-06,North East,E12000001,16 to 19,Not in low income,58313.0
2005-06,North East,E12000001,5 to 10,Not in low income,268896.0
2005-06,North East,E12000001,No children in the family,Not in low income,1198423.0
2005-06,North West,E12000002,0 to 4,Not in low income,831232.0
2005-06,North West,E12000002,11 to 15,Not in low income,548251.0
2005-06,North West,E12000002,16 to 19,Not in low income,129473.0
2005-06,North West,E12000002,5 to 10,Not in low income,743132.0
2005-06,North West,E12000002,No children in the family,Not in low income,3139340.0
2005-06,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,673455.0
2005-06,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,384816.0
2005-06,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,78292.0
2005-06,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,525581.0
2005-06,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2373424.0
2006-07,North East,E12000001,0 to 4,Not in low income,315753.0
2006-07,North East,E12000001,11 to 15,Not in low income,220947.0
2006-07,North East,E12000001,16 to 19,Not in low income,46617.0
2006-07,North East,E12000001,5 to 10,Not in low income,225916.0
2006-07,North East,E12000001,No children in the family,Not in low income,1170737.0
2006-07,North West,E12000002,0 to 4,Not in low income,916265.0
2006-07,North West,E12000002,11 to 15,Not in low income,524362.0
2006-07,North West,E12000002,16 to 19,Not in low income,188873.0
2006-07,North West,E12000002,5 to 10,Not in low income,674571.0
2006-07,North West,E12000002,No children in the family,Not in low income,3066771.0
2006-07,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,633992.0
2006-07,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,384104.0
2006-07,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,112229.0
2006-07,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,528236.0
2006-07,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2342055.0
2007-08,North East,E12000001,0 to 4,Not in low income,313079.0
2007-08,North East,E12000001,11 to 15,Not in low income,209307.0
2007-08,North East,E12000001,16 to 19,Not in low income,85468.0
2007-08,North East,E12000001,5 to 10,Not in low income,188843.0
2007-08,North East,E12000001,No children in the family,Not in low income,1130973.0
2007-08,North West,E12000002,0 to 4,Not in low income,839737.0
2007-08,North West,E12000002,11 to 15,Not in low income,538317.0
2007-08,North West,E12000002,16 to 19,Not in low income,186022.0
2007-08,North West,E12000002,5 to 10,Not in low income,620775.0
2007-08,North West,E12000002,No children in the family,Not in low income,3192260.0
2007-08,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,614302.0
2007-08,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,358446.0
2007-08,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,119532.0
2007-08,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,562129.0
2007-08,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2405920.0
2008-09,North East,E12000001,0 to 4,Not in low income,310566.0
2008-09,North East,E12000001,11 to 15,Not in low income,175009.0
2008-09,North East,E12000001,16 to 19,Not in low income,69389.0
2008-09,North East,E12000001,5 to 10,Not in low income,211268.0
2008-09,North East,E12000001,No children in the family,Not in low income,1221829.0
2008-09,North West,E12000002,0 to 4,Not in low income,884907.0
2008-09,North West,E12000002,11 to 15,Not in low income,500457.0
2008-09,North West,E12000002,16 to 19,Not in low income,212161.0
2008-09,North West,E12000002,5 to 10,Not in low income,698310.0
2008-09,North West,E12000002,No children in the family,Not in low income,3287809.0
2008-09,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,743819.0
2008-09,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,362274.0
2008-09,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,168431.0
2008-09,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,399728.0
2008-09,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2344263.0
2009-10,North East,E12000001,0 to 4,Not in low income,310158.0
2009-10,North East,E12000001,11 to 15,Not in low income,159792.0
2009-10,North East,E12000001,16 to 19,Not in low income,88652.0
2009-10,North East,E12000001,5 to 10,Not in low income,293710.0
2009-10,North East,E12000001,No children in the family,Not in low income,1185855.0
2009-10,North West,E12000002,0 to 4,Not in low income,988750.0
2009-10,North West,E12000002,11 to 15,Not in low income,556282.0
2009-10,North West,E12000002,16 to 19,Not in low income,173320.0
2009-10,North West,E12000002,5 to 10,Not in low income,644998.0
2009-10,North West,E12000002,No children in the family,Not in low income,3270648.0
2009-10,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,734789.0
2009-10,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,408096.0
2009-10,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,128264.0
2009-10,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,466410.0
2009-10,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2356973.0
2010-11,North East,E12000001,0 to 4,Not in low income,308485.0
2010-11,North East,E12000001,11 to 15,Not in low income,195779.0
2010-11,North East,E12000001,16 to 19,Not in low income,68019.0
2010-11,North East,E12000001,5 to 10,Not in low income,250311.0
2010-11,North East,E12000001,No children in the family,Not in low income,1269431.0
2010-11,North West,E12000002,0 to 4,Not in low income,1033161.0
2010-11,North West,E12000002,11 to 15,Not in low income,514642.0
2010-11,North West,E12000002,16 to 19,Not in low income,205355.0
2010-11,North West,E12000002,5 to 10,Not in low income,656155.0
2010-11,North West,E12000002,No children in the family,Not in low income,3280108.0
2010-11,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,715303.0
2010-11,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,389628.0
2010-11,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,124352.0
2010-11,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,496836.0
2010-11,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2396779.0
2011-12,North East,E12000001,0 to 4,Not in low income,371288.0
2011-12,North East,E12000001,11 to 15,Not in low income,205732.0
2011-12,North East,E12000001,16 to 19,Not in low income,102458.0
2011-12,North East,E12000001,5 to 10,Not in low income,236327.0
2011-12,North East,E12000001,No children in the family,Not in low income,1170159.0
2011-12,North West,E12000002,0 to 4,Not in low income,1030687.0
2011-12,North West,E12000002,11 to 15,Not in low income,511702.0
2011-12,North West,E12000002,16 to 19,Not in low income,232689.0
2011-12,North West,E12000002,5 to 10,Not in low income,616881.0
2011-12,North West,E12000002,No children in the family,Not in low income,3362256.0
2011-12,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,762993.0
2011-12,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,421871.0
2011-12,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,152834.0
2011-12,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,490908.0
2011-12,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2434216.0
2012-13,North East,E12000001,0 to 4,Not in low income,301102.0
2012-13,North East,E12000001,11 to 15,Not in low income,152630.0
2012-13,North East,E12000001,16 to 19,Not in low income,86271.0
2012-13,North East,E12000001,5 to 10,Not in low income,297975.0
2012-13,North East,E12000001,No children in the family,Not in low income,1287651.0
2012-13,North West,E12000002,0 to 4,Not in low income,952587.0
2012-13,North West,E12000002,11 to 15,Not in low income,515064.0
2012-13,North West,E12000002,16 to 19,Not in low income,268854.0
2012-13,North West,E12000002,5 to 10,Not in low income,655389.0
2012-13,North West,E12000002,No children in the family,Not in low income,3374152.0
2012-13,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,812913.0
2012-13,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,362228.0
2012-13,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,135299.0
2012-13,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,487449.0
2012-13,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2445469.0
2013-14,North East,E12000001,0 to 4,Not in low income,388298.0
2013-14,North East,E12000001,11 to 15,Not in low income,141383.0
2013-14,North East,E12000001,16 to 19,Not in low income,62394.0
2013-14,North East,E12000001,5 to 10,Not in low income,268796.0
2013-14,North East,E12000001,No children in the family,Not in low income,1275276.0
2013-14,North West,E12000002,0 to 4,Not in low income,1066655.0
2013-14,North West,E12000002,11 to 15,Not in low income,549015.0
2013-14,North West,E12000002,16 to 19,Not in low income,160600.0
2013-14,North West,E12000002,5 to 10,Not in low income,737660.0
2013-14,North West,E12000002,No children in the family,Not in low income,3292242.0
2013-14,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,915433.0
2013-14,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,326689.0
2013-14,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,169480.0
2013-14,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,477546.0
2013-14,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2473476.0
2014-15,North East,E12000001,0 to 4,Not in low income,328128.0
2014-15,North East,E12000001,11 to 15,Not in low income,163269.0
2014-15,North East,E12000001,16 to 19,Not in low income,49702.0
2014-15,North East,E12000001,5 to 10,Not in low income,304858.0
2014-15,North East,E12000001,No children in the family,Not in low income,1225342.0
2014-15,North West,E12000002,0 to 4,Not in low income,1032079.0
2014-15,North West,E12000002,11 to 15,Not in low income,491593.0
2014-15,North West,E12000002,16 to 19,Not in low income,200165.0
2014-15,North West,E12000002,5 to 10,Not in low income,687644.0
2014-15,North West,E12000002,No children in the family,Not in low income,3277923.0
2014-15,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,763193.0
2014-15,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,357359.0
2014-15,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,145625.0
2014-15,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,535292.0
2014-15,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2481662.0
2015-16,North East,E12000001,0 to 4,Not in low income,344181.0
2015-16,North East,E12000001,11 to 15,Not in low income,152179.0
2015-16,North East,E12000001,16 to 19,Not in low income,65496.0
2015-16,North East,E12000001,5 to 10,Not in low income,257100.0
2015-16,North East,E12000001,No children in the family,Not in low income,1289096.0
2015-16,North West,E12000002,0 to 4,Not in low income,917589.0
2015-16,North West,E12000002,11 to 15,Not in low income,412315.0
2015-16,North West,E12000002,16 to 19,Not in low income,226694.0
2015-16,North West,E12000002,5 to 10,Not in low income,806059.0
2015-16,North West,E12000002,No children in the family,Not in low income,3394576.0
2015-16,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,780071.0
2015-16,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,343414.0
2015-16,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,111486.0
2015-16,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,507594.0
2015-16,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2549677.0
2016-17,North East,E12000001,0 to 4,Not in low income,366673.0
2016-17,North East,E12000001,11 to 15,Not in low income,142140.0
2016-17,North East,E12000001,16 to 19,Not in low income,86396.0
2016-17,North East,E12000001,5 to 10,Not in low income,210095.0
2016-17,North East,E12000001,No children in the family,Not in low income,1295830.0
2016-17,North West,E12000002,0 to 4,Not in low income,948556.0
2016-17,North West,E12000002,11 to 15,Not in low income,435924.0
2016-17,North West,E12000002,16 to 19,Not in low income,196174.0
2016-17,North West,E12000002,5 to 10,Not in low income,741420.0
2016-17,North West,E12000002,No children in the family,Not in low income,3386830.0
2016-17,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,799149.0
2016-17,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,321201.0
2016-17,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,130007.0
2016-17,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,582344.0
2016-17,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2528928.0
2017-18,North East,E12000001,0 to 4,Not in low income,300907.0
2017-18,North East,E12000001,11 to 15,Not in low income,203826.0
2017-18,North East,E12000001,16 to 19,Not in low income,47701.0
2017-18,North East,E12000001,5 to 10,Not in low income,255419.0
2017-18,North East,E12000001,No children in the family,Not in low income,1281240.0
2017-18,North West,E12000002,0 to 4,Not in low income,966652.0
2017-18,North West,E12000002,11 to 15,Not in low income,397276.0
2017-18,North West,E12000002,16 to 19,Not in low income,170142.0
2017-18,North West,E12000002,5 to 10,Not in low income,758063.0
2017-18,North West,E12000002,No children in the family,Not in low income,3419547.0
2017-18,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,767530.0
2017-18,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,303613.0
2017-18,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,176203.0
2017-18,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,515070.0
2017-18,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2503927.0
2018-19,North East,E12000001,0 to 4,Not in low income,311836.0
2018-19,North East,E12000001,11 to 15,Not in low income,164254.0
2018-19,North East,E12000001,16 to 19,Not in low income,55205.0
2018-19,North East,E12000001,5 to 10,Not in low income,262325.0
2018-19,North East,E12000001,No children in the family,Not in low income,1312720.0
2018-19,North West,E12000002,0 to 4,Not in low income,990543.0
2018-19,North West,E12000002,11 to 15,Not in low income,478618.0
2018-19,North West,E12000002,16 to 19,Not in low income,187707.0
2018-19,North West,E12000002,5 to 10,Not in low income,754088.0
2018-19,North West,E12000002,No children in the family,Not in low income,3449983.0
2018-19,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,644399.0
2018-19,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,358268.0
2018-19,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,122092.0
2018-19,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,592374.0
2018-19,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2495932.0
2019-20,North East,E12000001,0 to 4,Not in low income,257787.0
2019-20,North East,E12000001,11 to 15,Not in low income,162398.0
2019-20,North East,E12000001,16 to 19,Not in low income,73225.0
2019-20,North East,E12000001,5 to 10,Not in low income,194674.0
2019-20,North East,E12000001,No children in the family,Not in low income,1269183.0
2019-20,North West,E12000002,0 to 4,Not in low income,987878.0
2019-20,North West,E12000002,11 to 15,Not in low income,491918.0
2019-20,North West,E12000002,16 to 19,Not in low income,193897.0
2019-20,North West,E12000002,5 to 10,Not in low income,775533.0
2019-20,North West,E12000002,No children in the family,Not in low income,3431172.0
2019-20,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,709946.0
2019-20,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,340153.0
2019-20,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,120018.0
2019-20,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,509321.0
2019-20,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,2563322.0
2020-21,North East,E12000001,0 to 4,Not in low income,0.0
2020-21,North East,E12000001,11 to 15,Not in low income,0.0
2020-21,North East,E12000001,16 to 19,Not in low income,0.0
2020-21,North East,E12000001,5 to 10,Not in low income,0.0
2020-21,North East,E12000001,No children in the family,Not in low income,0.0
2020-21,North West,E12000002,0 to 4,Not in low income,0.0
2020-21,North West,E12000002,11 to 15,Not in low income,0.0
2020-21,North West,E12000002,16 to 19,Not in low income,0.0
2020-21,North West,E12000002,5 to 10,Not in low income,0.0
2020-21,North West,E12000002,No children in the family,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,No children in the family,Not in low income,0.0
2021-22,North East,E12000001,0 to 4,Not in low income,296709.0
2021-22,North East,E12000001,11 to 15,Not in low income,201345.0
2021-22,North East,E12000001,16 to 19,Not in low income,88269.0
2021-22,North East,E12000001,5 to 10,Not in low income,306696.0
2021-22,North East,E12000001,No children in the family,Not in low income,1301117.0
2021-22,North West,E12000002,0 to 4,Not in low income,824928.0
2021-22,North West,E12000002,11 to 15,Not in low income,492705.0
2021-22,North West,E12000002,16 to 19,Not in low income,172803.0
2021-22,North West,E12000002,5 to 10,Not in low income,847188.0
2021-22,North West,E12000002,No children in the family,Not in low income,3526447.0
2021-22,Yorkshire and The Humber,E12000003,0 to 4,Not in low income,610299.0
2021-22,Yorkshire and The Humber,E12000003,11 to 15,Not in low income,354591.0
2021-22,Yorkshire and The Humber,E12000003,16 to 19,Not in low income,108186.0
2021-22,Yorkshire and The Humber,E12000003,5 to 10,Not in low income,784389.0
