Financial Year,geography_name,geography_code,Ethnic Group of the Head of the Household (please calculate three-year averages - click on i for the correct method),variable_name,value
1998-99,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1998-99,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1998-99,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,18514.0
1998-99,Yorkshire and The Humber,E12000003,White,Not in low income,3578310.0
1999-00,North East,E12000001,Asian/ Asian British,Not in low income,0.0
1999-00,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
1999-00,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1999-00,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
1999-00,North East,E12000001,Other Ethnic Group,Not in low income,1950.0
1999-00,North East,E12000001,White,Not in low income,1853201.0
1999-00,North West,E12000002,Asian/ Asian British,Not in low income,66823.0
1999-00,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,39735.0
1999-00,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1999-00,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
1999-00,North West,E12000002,Other Ethnic Group,Not in low income,26768.0
1999-00,North West,E12000002,White,Not in low income,5122534.0
1999-00,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,71725.0
1999-00,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,32547.0
1999-00,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
1999-00,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
1999-00,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,24127.0
1999-00,Yorkshire and The Humber,E12000003,White,Not in low income,3628483.0
2000-01,North East,E12000001,Asian/ Asian British,Not in low income,3468.0
2000-01,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,6028.0
2000-01,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2000-01,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2000-01,North East,E12000001,Other Ethnic Group,Not in low income,2778.0
2000-01,North East,E12000001,White,Not in low income,1874551.0
2000-01,North West,E12000002,Asian/ Asian British,Not in low income,91309.0
2000-01,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,36450.0
2000-01,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2000-01,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2000-01,North West,E12000002,Other Ethnic Group,Not in low income,51387.0
2000-01,North West,E12000002,White,Not in low income,5144381.0
2000-01,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,60597.0
2000-01,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,40518.0
2000-01,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2000-01,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2000-01,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,40699.0
2000-01,Yorkshire and The Humber,E12000003,White,Not in low income,3724509.0
2001-02,North East,E12000001,Asian/ Asian British,Not in low income,19496.0
2001-02,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,6204.0
2001-02,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,16987.0
2001-02,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2001-02,North East,E12000001,Other Ethnic Group,Not in low income,4028.0
2001-02,North East,E12000001,White,Not in low income,1918976.0
2001-02,North West,E12000002,Asian/ Asian British,Not in low income,123824.0
2001-02,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,49196.0
2001-02,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,20208.0
2001-02,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2001-02,North West,E12000002,Other Ethnic Group,Not in low income,28383.0
2001-02,North West,E12000002,White,Not in low income,5040552.0
2001-02,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,57447.0
2001-02,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,31541.0
2001-02,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,26086.0
2001-02,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2001-02,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,12136.0
2001-02,Yorkshire and The Humber,E12000003,White,Not in low income,3715686.0
2002-03,North East,E12000001,Asian/ Asian British,Not in low income,20697.0
2002-03,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,3194.0
2002-03,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2002-03,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2002-03,North East,E12000001,Other Ethnic Group,Not in low income,6406.0
2002-03,North East,E12000001,White,Not in low income,1880559.0
2002-03,North West,E12000002,Asian/ Asian British,Not in low income,119743.0
2002-03,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,52599.0
2002-03,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,35562.0
2002-03,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2002-03,North West,E12000002,Other Ethnic Group,Not in low income,11075.0
2002-03,North West,E12000002,White,Not in low income,5169957.0
2002-03,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,75498.0
2002-03,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,23598.0
2002-03,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,15759.0
2002-03,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2002-03,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,12266.0
2002-03,Yorkshire and The Humber,E12000003,White,Not in low income,3833792.0
2003-04,North East,E12000001,Asian/ Asian British,Not in low income,12091.0
2003-04,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2003-04,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,4474.0
2003-04,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2003-04,North East,E12000001,Other Ethnic Group,Not in low income,2919.0
2003-04,North East,E12000001,White,Not in low income,1956939.0
2003-04,North West,E12000002,Asian/ Asian British,Not in low income,85696.0
2003-04,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,10858.0
2003-04,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,32493.0
2003-04,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2003-04,North West,E12000002,Other Ethnic Group,Not in low income,28663.0
2003-04,North West,E12000002,White,Not in low income,5258938.0
2003-04,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,122610.0
2003-04,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,33800.0
2003-04,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,6861.0
2003-04,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2003-04,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,20378.0
2003-04,Yorkshire and The Humber,E12000003,White,Not in low income,3802694.0
2004-05,North East,E12000001,Asian/ Asian British,Not in low income,27806.0
2004-05,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,1884.0
2004-05,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,6308.0
2004-05,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2004-05,North East,E12000001,Other Ethnic Group,Not in low income,1398.0
2004-05,North East,E12000001,White,Not in low income,1927590.0
2004-05,North West,E12000002,Asian/ Asian British,Not in low income,108286.0
2004-05,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,29503.0
2004-05,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,23449.0
2004-05,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2004-05,North West,E12000002,Other Ethnic Group,Not in low income,49098.0
2004-05,North West,E12000002,White,Not in low income,5293450.0
2004-05,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,138538.0
2004-05,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,22800.0
2004-05,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,17489.0
2004-05,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2004-05,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,13657.0
2004-05,Yorkshire and The Humber,E12000003,White,Not in low income,3890451.0
2005-06,North East,E12000001,Asian/ Asian British,Not in low income,23898.0
2005-06,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,4872.0
2005-06,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,8999.0
2005-06,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2005-06,North East,E12000001,Other Ethnic Group,Not in low income,1334.0
2005-06,North East,E12000001,White,Not in low income,1972696.0
2005-06,North West,E12000002,Asian/ Asian British,Not in low income,127119.0
2005-06,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,34748.0
2005-06,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,44907.0
2005-06,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2005-06,North West,E12000002,Other Ethnic Group,Not in low income,22019.0
2005-06,North West,E12000002,White,Not in low income,5162635.0
2005-06,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,150208.0
2005-06,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,51673.0
2005-06,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,24223.0
2005-06,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2005-06,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,22298.0
2005-06,Yorkshire and The Humber,E12000003,White,Not in low income,3787166.0
2006-07,North East,E12000001,Asian/ Asian British,Not in low income,23317.0
2006-07,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,5904.0
2006-07,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,11526.0
2006-07,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2006-07,North East,E12000001,Other Ethnic Group,Not in low income,12731.0
2006-07,North East,E12000001,White,Not in low income,1926492.0
2006-07,North West,E12000002,Asian/ Asian British,Not in low income,258755.0
2006-07,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,68880.0
2006-07,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,32927.0
2006-07,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2006-07,North West,E12000002,Other Ethnic Group,Not in low income,19699.0
2006-07,North West,E12000002,White,Not in low income,4990581.0
2006-07,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,146968.0
2006-07,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,43406.0
2006-07,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,18243.0
2006-07,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2006-07,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,14450.0
2006-07,Yorkshire and The Humber,E12000003,White,Not in low income,3777549.0
2007-08,North East,E12000001,Asian/ Asian British,Not in low income,22788.0
2007-08,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,11482.0
2007-08,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,9485.0
2007-08,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2007-08,North East,E12000001,Other Ethnic Group,Not in low income,5175.0
2007-08,North East,E12000001,White,Not in low income,1878740.0
2007-08,North West,E12000002,Asian/ Asian British,Not in low income,226556.0
2007-08,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,59936.0
2007-08,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,21033.0
2007-08,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2007-08,North West,E12000002,Other Ethnic Group,Not in low income,27359.0
2007-08,North West,E12000002,White,Not in low income,5042227.0
2007-08,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,204178.0
2007-08,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,41514.0
2007-08,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,21554.0
2007-08,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2007-08,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,29005.0
2007-08,Yorkshire and The Humber,E12000003,White,Not in low income,3764078.0
2008-09,North East,E12000001,Asian/ Asian British,Not in low income,23900.0
2008-09,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2008-09,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,11378.0
2008-09,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2008-09,North East,E12000001,Other Ethnic Group,Not in low income,6951.0
2008-09,North East,E12000001,White,Not in low income,1945832.0
2008-09,North West,E12000002,Asian/ Asian British,Not in low income,123401.0
2008-09,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,67342.0
2008-09,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,69403.0
2008-09,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2008-09,North West,E12000002,Other Ethnic Group,Not in low income,32317.0
2008-09,North West,E12000002,White,Not in low income,5291181.0
2008-09,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,179712.0
2008-09,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,80586.0
2008-09,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,8862.0
2008-09,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2008-09,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,39083.0
2008-09,Yorkshire and The Humber,E12000003,White,Not in low income,3710272.0
2009-10,North East,E12000001,Asian/ Asian British,Not in low income,50792.0
2009-10,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,14044.0
2009-10,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2009-10,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2009-10,North East,E12000001,Other Ethnic Group,Not in low income,2162.0
2009-10,North East,E12000001,White,Not in low income,1971169.0
2009-10,North West,E12000002,Asian/ Asian British,Not in low income,239821.0
2009-10,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,57409.0
2009-10,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,25174.0
2009-10,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2009-10,North West,E12000002,Other Ethnic Group,Not in low income,10654.0
2009-10,North West,E12000002,White,Not in low income,5300940.0
2009-10,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,139976.0
2009-10,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,35125.0
2009-10,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,30026.0
2009-10,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2009-10,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,27360.0
2009-10,Yorkshire and The Humber,E12000003,White,Not in low income,3862045.0
2010-11,North East,E12000001,Asian/ Asian British,Not in low income,36904.0
2010-11,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,3308.0
2010-11,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,7552.0
2010-11,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2010-11,North East,E12000001,Other Ethnic Group,Not in low income,0.0
2010-11,North East,E12000001,White,Not in low income,2044261.0
2010-11,North West,E12000002,Asian/ Asian British,Not in low income,241730.0
2010-11,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,59776.0
2010-11,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,63267.0
2010-11,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2010-11,North West,E12000002,Other Ethnic Group,Not in low income,39360.0
2010-11,North West,E12000002,White,Not in low income,5285288.0
2010-11,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,191081.0
2010-11,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,47312.0
2010-11,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,54905.0
2010-11,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2010-11,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,36082.0
2010-11,Yorkshire and The Humber,E12000003,White,Not in low income,3793518.0
2011-12,North East,E12000001,Asian/ Asian British,Not in low income,15660.0
2011-12,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2011-12,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,0.0
2011-12,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2011-12,North East,E12000001,Other Ethnic Group,Not in low income,27022.0
2011-12,North East,E12000001,White,Not in low income,2043282.0
2011-12,North West,E12000002,Asian/ Asian British,Not in low income,178076.0
2011-12,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,73613.0
2011-12,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,26995.0
2011-12,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2011-12,North West,E12000002,Other Ethnic Group,Not in low income,62916.0
2011-12,North West,E12000002,White,Not in low income,5412615.0
2011-12,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,207192.0
2011-12,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,47455.0
2011-12,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,27140.0
2011-12,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2011-12,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,10748.0
2011-12,Yorkshire and The Humber,E12000003,White,Not in low income,3970287.0
2012-13,North East,E12000001,Asian/ Asian British,Not in low income,34446.0
2012-13,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2012-13,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,2976.0
2012-13,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2012-13,North East,E12000001,Other Ethnic Group,Not in low income,12969.0
2012-13,North East,E12000001,White,Not in low income,2075238.0
2012-13,North West,E12000002,Asian/ Asian British,Not in low income,307746.0
2012-13,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,66694.0
2012-13,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,43804.0
2012-13,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2012-13,North West,E12000002,Other Ethnic Group,Not in low income,30758.0
2012-13,North West,E12000002,White,Not in low income,5317044.0
2012-13,Yorkshire and The Humber,E12000003,Asian/ Asian British,Not in low income,131395.0
2012-13,Yorkshire and The Humber,E12000003,Black/ African/ Caribbean/ Black British,Not in low income,51163.0
2012-13,Yorkshire and The Humber,E12000003,Mixed/ Multiple Ethnic Groups,Not in low income,45954.0
2012-13,Yorkshire and The Humber,E12000003,Not declared (from 2020/21 onwards),Not in low income,0.0
2012-13,Yorkshire and The Humber,E12000003,Other Ethnic Group,Not in low income,29286.0
2012-13,Yorkshire and The Humber,E12000003,White,Not in low income,3985560.0
2013-14,North East,E12000001,Asian/ Asian British,Not in low income,49233.0
2013-14,North East,E12000001,Black/ African/ Caribbean/ Black British,Not in low income,0.0
2013-14,North East,E12000001,Mixed/ Multiple Ethnic Groups,Not in low income,5442.0
2013-14,North East,E12000001,Not declared (from 2020/21 onwards),Not in low income,0.0
2013-14,North East,E12000001,Other Ethnic Group,Not in low income,5361.0
2013-14,North East,E12000001,White,Not in low income,2076111.0
2013-14,North West,E12000002,Asian/ Asian British,Not in low income,213357.0
2013-14,North West,E12000002,Black/ African/ Caribbean/ Black British,Not in low income,75057.0
2013-14,North West,E12000002,Mixed/ Multiple Ethnic Groups,Not in low income,45661.0
2013-14,North West,E12000002,Not declared (from 2020/21 onwards),Not in low income,0.0
2013-14,North West,E12000002,Other Ethnic Group,Not in low income,63968.0
