Financial Year,geography_name,geography_code,Tenure Type of the Household of the Individual,variable_name,value
1998-99,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4061560.0
1998-99,North West,E12000002,Social rented sector tenants,Not in low income,654339.0
1998-99,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,267584.0
1998-99,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2875845.0
1998-99,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,546710.0
1999-00,North East,E12000001,All rented privately,Not in low income,138595.0
1999-00,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1325776.0
1999-00,North East,E12000001,Social rented sector tenants,Not in low income,390780.0
1999-00,North West,E12000002,All rented privately,Not in low income,408826.0
1999-00,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4187811.0
1999-00,North West,E12000002,Social rented sector tenants,Not in low income,659223.0
1999-00,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,297432.0
1999-00,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2803343.0
1999-00,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,656107.0
2000-01,North East,E12000001,All rented privately,Not in low income,119883.0
2000-01,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1412771.0
2000-01,North East,E12000001,Social rented sector tenants,Not in low income,354171.0
2000-01,North West,E12000002,All rented privately,Not in low income,360955.0
2000-01,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4246425.0
2000-01,North West,E12000002,Social rented sector tenants,Not in low income,716147.0
2000-01,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,327745.0
2000-01,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2923298.0
2000-01,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,615280.0
2001-02,North East,E12000001,All rented privately,Not in low income,99253.0
2001-02,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1463774.0
2001-02,North East,E12000001,Social rented sector tenants,Not in low income,402664.0
2001-02,North West,E12000002,All rented privately,Not in low income,392288.0
2001-02,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4083657.0
2001-02,North West,E12000002,Social rented sector tenants,Not in low income,786218.0
2001-02,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,354761.0
2001-02,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2868868.0
2001-02,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,619267.0
2002-03,North East,E12000001,All rented privately,Not in low income,90819.0
2002-03,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1380177.0
2002-03,North East,E12000001,Social rented sector tenants,Not in low income,439860.0
2002-03,North West,E12000002,All rented privately,Not in low income,407894.0
2002-03,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4213203.0
2002-03,North West,E12000002,Social rented sector tenants,Not in low income,767839.0
2002-03,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,393962.0
2002-03,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2947422.0
2002-03,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,619529.0
2003-04,North East,E12000001,All rented privately,Not in low income,99594.0
2003-04,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1519452.0
2003-04,North East,E12000001,Social rented sector tenants,Not in low income,357377.0
2003-04,North West,E12000002,All rented privately,Not in low income,378193.0
2003-04,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4247783.0
2003-04,North West,E12000002,Social rented sector tenants,Not in low income,790672.0
2003-04,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,381559.0
2003-04,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2986307.0
2003-04,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,618477.0
2004-05,North East,E12000001,All rented privately,Not in low income,118121.0
2004-05,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1529030.0
2004-05,North East,E12000001,Social rented sector tenants,Not in low income,317835.0
2004-05,North West,E12000002,All rented privately,Not in low income,516281.0
2004-05,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4186354.0
2004-05,North West,E12000002,Social rented sector tenants,Not in low income,801151.0
2004-05,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,413614.0
2004-05,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,3062253.0
2004-05,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,607068.0
2005-06,North East,E12000001,All rented privately,Not in low income,164162.0
2005-06,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1419116.0
2005-06,North East,E12000001,Social rented sector tenants,Not in low income,428521.0
2005-06,North West,E12000002,All rented privately,Not in low income,519009.0
2005-06,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4088293.0
2005-06,North West,E12000002,Social rented sector tenants,Not in low income,784126.0
2005-06,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,407035.0
2005-06,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,3096225.0
2005-06,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,532308.0
2006-07,North East,E12000001,All rented privately,Not in low income,143868.0
2006-07,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1466035.0
2006-07,North East,E12000001,Social rented sector tenants,Not in low income,370067.0
2006-07,North West,E12000002,All rented privately,Not in low income,502978.0
2006-07,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4090434.0
2006-07,North West,E12000002,Social rented sector tenants,Not in low income,777430.0
2006-07,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,426142.0
2006-07,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,3063123.0
2006-07,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,511351.0
2007-08,North East,E12000001,All rented privately,Not in low income,148048.0
2007-08,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1419606.0
2007-08,North East,E12000001,Social rented sector tenants,Not in low income,360016.0
2007-08,North West,E12000002,All rented privately,Not in low income,573920.0
2007-08,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4060137.0
2007-08,North West,E12000002,Social rented sector tenants,Not in low income,743054.0
2007-08,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,469414.0
2007-08,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,3086630.0
2007-08,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,504285.0
2008-09,North East,E12000001,All rented privately,Not in low income,190526.0
2008-09,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1476187.0
2008-09,North East,E12000001,Social rented sector tenants,Not in low income,321348.0
2008-09,North West,E12000002,All rented privately,Not in low income,655472.0
2008-09,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4147022.0
2008-09,North West,E12000002,Social rented sector tenants,Not in low income,781150.0
2008-09,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,472047.0
2008-09,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2980703.0
2008-09,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,565765.0
2009-10,North East,E12000001,All rented privately,Not in low income,206371.0
2009-10,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1485685.0
2009-10,North East,E12000001,Social rented sector tenants,Not in low income,346111.0
2009-10,North West,E12000002,All rented privately,Not in low income,695873.0
2009-10,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4095832.0
2009-10,North West,E12000002,Social rented sector tenants,Not in low income,842293.0
2009-10,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,637999.0
2009-10,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2858676.0
2009-10,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,597857.0
2010-11,North East,E12000001,All rented privately,Not in low income,212853.0
2010-11,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1478323.0
2010-11,North East,E12000001,Social rented sector tenants,Not in low income,400849.0
2010-11,North West,E12000002,All rented privately,Not in low income,838022.0
2010-11,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4046907.0
2010-11,North West,E12000002,Social rented sector tenants,Not in low income,804492.0
2010-11,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,667935.0
2010-11,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2820540.0
2010-11,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,634423.0
2011-12,North East,E12000001,All rented privately,Not in low income,254250.0
2011-12,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1372255.0
2011-12,North East,E12000001,Social rented sector tenants,Not in low income,459459.0
2011-12,North West,E12000002,All rented privately,Not in low income,729645.0
2011-12,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4068127.0
2011-12,North West,E12000002,Social rented sector tenants,Not in low income,956443.0
2011-12,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,651731.0
2011-12,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2945668.0
2011-12,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,665423.0
2012-13,North East,E12000001,All rented privately,Not in low income,292582.0
2012-13,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1413264.0
2012-13,North East,E12000001,Social rented sector tenants,Not in low income,419783.0
2012-13,North West,E12000002,All rented privately,Not in low income,830494.0
2012-13,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4118885.0
2012-13,North West,E12000002,Social rented sector tenants,Not in low income,816667.0
2012-13,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,628961.0
2012-13,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2850284.0
2012-13,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,764113.0
2013-14,North East,E12000001,All rented privately,Not in low income,357173.0
2013-14,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1406159.0
2013-14,North East,E12000001,Social rented sector tenants,Not in low income,372815.0
2013-14,North West,E12000002,All rented privately,Not in low income,991424.0
2013-14,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4014824.0
2013-14,North West,E12000002,Social rented sector tenants,Not in low income,799924.0
2013-14,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,795895.0
2013-14,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2859867.0
2013-14,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,706862.0
2014-15,North East,E12000001,All rented privately,Not in low income,351300.0
2014-15,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1345678.0
2014-15,North East,E12000001,Social rented sector tenants,Not in low income,374321.0
2014-15,North West,E12000002,All rented privately,Not in low income,892919.0
2014-15,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4013445.0
2014-15,North West,E12000002,Social rented sector tenants,Not in low income,783040.0
2014-15,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,745788.0
2014-15,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2992818.0
2014-15,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,544525.0
2015-16,North East,E12000001,All rented privately,Not in low income,374139.0
2015-16,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1361121.0
2015-16,North East,E12000001,Social rented sector tenants,Not in low income,372792.0
2015-16,North West,E12000002,All rented privately,Not in low income,936610.0
2015-16,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3981923.0
2015-16,North West,E12000002,Social rented sector tenants,Not in low income,838700.0
2015-16,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,882915.0
2015-16,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2823491.0
2015-16,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,585836.0
2016-17,North East,E12000001,All rented privately,Not in low income,412244.0
2016-17,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1335274.0
2016-17,North East,E12000001,Social rented sector tenants,Not in low income,353616.0
2016-17,North West,E12000002,All rented privately,Not in low income,1005378.0
2016-17,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3873846.0
2016-17,North West,E12000002,Social rented sector tenants,Not in low income,829680.0
2016-17,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,811438.0
2016-17,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2942343.0
2016-17,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,607848.0
2017-18,North East,E12000001,All rented privately,Not in low income,391976.0
2017-18,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1334608.0
2017-18,North East,E12000001,Social rented sector tenants,Not in low income,362509.0
2017-18,North West,E12000002,All rented privately,Not in low income,1131990.0
2017-18,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3869050.0
2017-18,North West,E12000002,Social rented sector tenants,Not in low income,710640.0
2017-18,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,654828.0
2017-18,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2999679.0
2017-18,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,611836.0
2018-19,North East,E12000001,All rented privately,Not in low income,330351.0
2018-19,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1426965.0
2018-19,North East,E12000001,Social rented sector tenants,Not in low income,349024.0
2018-19,North West,E12000002,All rented privately,Not in low income,1054088.0
2018-19,North West,E12000002,Owned outright/buying with mortgage,Not in low income,3989836.0
2018-19,North West,E12000002,Social rented sector tenants,Not in low income,817015.0
2018-19,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,801024.0
2018-19,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2759118.0
2018-19,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,652923.0
2019-20,North East,E12000001,All rented privately,Not in low income,277467.0
2019-20,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1405763.0
2019-20,North East,E12000001,Social rented sector tenants,Not in low income,274037.0
2019-20,North West,E12000002,All rented privately,Not in low income,786790.0
2019-20,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4053328.0
2019-20,North West,E12000002,Social rented sector tenants,Not in low income,1040280.0
2019-20,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,801315.0
2019-20,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2820012.0
2019-20,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,621433.0
2020-21,North East,E12000001,All rented privately,Not in low income,0.0
2020-21,North East,E12000001,Owned outright/buying with mortgage,Not in low income,0.0
2020-21,North East,E12000001,Social rented sector tenants,Not in low income,0.0
2020-21,North West,E12000002,All rented privately,Not in low income,0.0
2020-21,North West,E12000002,Owned outright/buying with mortgage,Not in low income,0.0
2020-21,North West,E12000002,Social rented sector tenants,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,0.0
2021-22,North East,E12000001,All rented privately,Not in low income,361896.0
2021-22,North East,E12000001,Owned outright/buying with mortgage,Not in low income,1316558.0
2021-22,North East,E12000001,Social rented sector tenants,Not in low income,515682.0
2021-22,North West,E12000002,All rented privately,Not in low income,910988.0
2021-22,North West,E12000002,Owned outright/buying with mortgage,Not in low income,4047571.0
2021-22,North West,E12000002,Social rented sector tenants,Not in low income,905512.0
2021-22,Yorkshire and The Humber,E12000003,All rented privately,Not in low income,759385.0
2021-22,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,Not in low income,2883963.0
2021-22,Yorkshire and The Humber,E12000003,Social rented sector tenants,Not in low income,761619.0
1994-95,North East,E12000001,All rented privately,In low income (below threshold),49825.0
1994-95,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),246441.0
1994-95,North East,E12000001,Social rented sector tenants,In low income (below threshold),283068.0
1994-95,North West,E12000002,All rented privately,In low income (below threshold),134215.0
1994-95,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),739738.0
1994-95,North West,E12000002,Social rented sector tenants,In low income (below threshold),570457.0
1994-95,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),123953.0
1994-95,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),553167.0
1994-95,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),462705.0
1995-96,North East,E12000001,All rented privately,In low income (below threshold),59955.0
1995-96,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),270177.0
1995-96,North East,E12000001,Social rented sector tenants,In low income (below threshold),306715.0
1995-96,North West,E12000002,All rented privately,In low income (below threshold),105401.0
1995-96,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),655546.0
1995-96,North West,E12000002,Social rented sector tenants,In low income (below threshold),507172.0
1995-96,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),106417.0
1995-96,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),582053.0
1995-96,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),379243.0
1996-97,North East,E12000001,All rented privately,In low income (below threshold),60796.0
1996-97,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),240683.0
1996-97,North East,E12000001,Social rented sector tenants,In low income (below threshold),308079.0
1996-97,North West,E12000002,All rented privately,In low income (below threshold),149886.0
1996-97,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),725546.0
1996-97,North West,E12000002,Social rented sector tenants,In low income (below threshold),579375.0
1996-97,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),92511.0
1996-97,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),527755.0
1996-97,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),484983.0
1997-98,North East,E12000001,All rented privately,In low income (below threshold),45807.0
1997-98,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),246684.0
1997-98,North East,E12000001,Social rented sector tenants,In low income (below threshold),316585.0
1997-98,North West,E12000002,All rented privately,In low income (below threshold),154327.0
1997-98,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),715599.0
1997-98,North West,E12000002,Social rented sector tenants,In low income (below threshold),610542.0
1997-98,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),124983.0
1997-98,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),521411.0
1997-98,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),465801.0
1998-99,North East,E12000001,All rented privately,In low income (below threshold),71793.0
1998-99,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),248246.0
1998-99,North East,E12000001,Social rented sector tenants,In low income (below threshold),341449.0
1998-99,North West,E12000002,All rented privately,In low income (below threshold),148160.0
1998-99,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),897866.0
1998-99,North West,E12000002,Social rented sector tenants,In low income (below threshold),549884.0
1998-99,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),114315.0
1998-99,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),542046.0
1998-99,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),531266.0
1999-00,North East,E12000001,All rented privately,In low income (below threshold),91797.0
1999-00,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),246786.0
1999-00,North East,E12000001,Social rented sector tenants,In low income (below threshold),316547.0
1999-00,North West,E12000002,All rented privately,In low income (below threshold),108780.0
1999-00,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),832692.0
1999-00,North West,E12000002,Social rented sector tenants,In low income (below threshold),467397.0
1999-00,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),118960.0
1999-00,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),572920.0
1999-00,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),426967.0
2000-01,North East,E12000001,All rented privately,In low income (below threshold),64114.0
2000-01,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),241929.0
2000-01,North East,E12000001,Social rented sector tenants,In low income (below threshold),309416.0
2000-01,North West,E12000002,All rented privately,In low income (below threshold),145473.0
2000-01,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),714468.0
2000-01,North West,E12000002,Social rented sector tenants,In low income (below threshold),481326.0
2000-01,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),110703.0
2000-01,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),457628.0
2000-01,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),442311.0
2001-02,North East,E12000001,All rented privately,In low income (below threshold),63766.0
2001-02,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),240066.0
2001-02,North East,E12000001,Social rented sector tenants,In low income (below threshold),229211.0
2001-02,North West,E12000002,All rented privately,In low income (below threshold),148147.0
2001-02,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),701499.0
2001-02,North West,E12000002,Social rented sector tenants,In low income (below threshold),549860.0
2001-02,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),121996.0
2001-02,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),435586.0
2001-02,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),492235.0
2002-03,North East,E12000001,All rented privately,In low income (below threshold),46783.0
2002-03,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),263313.0
2002-03,North East,E12000001,Social rented sector tenants,In low income (below threshold),274104.0
2002-03,North West,E12000002,All rented privately,In low income (below threshold),144976.0
2002-03,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),675346.0
2002-03,North West,E12000002,Social rented sector tenants,In low income (below threshold),454371.0
2002-03,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),125835.0
2002-03,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),506662.0
2002-03,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),316691.0
2003-04,North East,E12000001,All rented privately,In low income (below threshold),66789.0
2003-04,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),210460.0
2003-04,North East,E12000001,Social rented sector tenants,In low income (below threshold),240669.0
2003-04,North West,E12000002,All rented privately,In low income (below threshold),154092.0
2003-04,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),686951.0
2003-04,North West,E12000002,Social rented sector tenants,In low income (below threshold),434838.0
2003-04,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),123110.0
2003-04,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),527307.0
2003-04,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),299190.0
2004-05,North East,E12000001,All rented privately,In low income (below threshold),58364.0
2004-05,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),239170.0
2004-05,North East,E12000001,Social rented sector tenants,In low income (below threshold),231812.0
2004-05,North West,E12000002,All rented privately,In low income (below threshold),170522.0
2004-05,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),611074.0
2004-05,North West,E12000002,Social rented sector tenants,In low income (below threshold),432490.0
2004-05,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),100068.0
2004-05,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),429821.0
2004-05,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),358730.0
2005-06,North East,E12000001,All rented privately,In low income (below threshold),64169.0
2005-06,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),218893.0
2005-06,North East,E12000001,Social rented sector tenants,In low income (below threshold),205981.0
2005-06,North West,E12000002,All rented privately,In low income (below threshold),196349.0
2005-06,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),774953.0
2005-06,North West,E12000002,Social rented sector tenants,In low income (below threshold),383656.0
2005-06,Yorkshire and The Humber,E12000003,All rented privately,In low income (below threshold),166208.0
2005-06,Yorkshire and The Humber,E12000003,Owned outright/buying with mortgage,In low income (below threshold),500887.0
2005-06,Yorkshire and The Humber,E12000003,Social rented sector tenants,In low income (below threshold),313304.0
2006-07,North East,E12000001,All rented privately,In low income (below threshold),106669.0
2006-07,North East,E12000001,Owned outright/buying with mortgage,In low income (below threshold),215287.0
2006-07,North East,E12000001,Social rented sector tenants,In low income (below threshold),204253.0
2006-07,North West,E12000002,All rented privately,In low income (below threshold),221980.0
2006-07,North West,E12000002,Owned outright/buying with mortgage,In low income (below threshold),733962.0
