Financial Year,geography_name,geography_code,Type of Individual by Age Category,variable_name,value
2000-01,North West,E12000002,Pensioner,Not in low income,918426.0
2000-01,North West,E12000002,Working-Age,Not in low income,3234753.0
2000-01,Yorkshire and The Humber,E12000003,Child,Not in low income,829654.0
2000-01,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,645042.0
2000-01,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2391627.0
2001-02,North East,E12000001,Child,Not in low income,402460.0
2001-02,North East,E12000001,Pensioner,Not in low income,351217.0
2001-02,North East,E12000001,Working-Age,Not in low income,1212014.0
2001-02,North West,E12000002,Child,Not in low income,1119947.0
2001-02,North West,E12000002,Pensioner,Not in low income,892586.0
2001-02,North West,E12000002,Working-Age,Not in low income,3249630.0
2001-02,Yorkshire and The Humber,E12000003,Child,Not in low income,815636.0
2001-02,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,652064.0
2001-02,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2375196.0
2002-03,North East,E12000001,Child,Not in low income,359264.0
2002-03,North East,E12000001,Pensioner,Not in low income,366465.0
2002-03,North East,E12000001,Working-Age,Not in low income,1185127.0
2002-03,North West,E12000002,Child,Not in low income,1146478.0
2002-03,North West,E12000002,Pensioner,Not in low income,904733.0
2002-03,North West,E12000002,Working-Age,Not in low income,3337725.0
2002-03,Yorkshire and The Humber,E12000003,Child,Not in low income,821712.0
2002-03,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,666081.0
2002-03,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2473120.0
2003-04,North East,E12000001,Child,Not in low income,385307.0
2003-04,North East,E12000001,Pensioner,Not in low income,375670.0
2003-04,North East,E12000001,Working-Age,Not in low income,1215446.0
2003-04,North West,E12000002,Child,Not in low income,1131701.0
2003-04,North West,E12000002,Pensioner,Not in low income,919229.0
2003-04,North West,E12000002,Working-Age,Not in low income,3365718.0
2003-04,Yorkshire and The Humber,E12000003,Child,Not in low income,829550.0
2003-04,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,708714.0
2003-04,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2448079.0
2004-05,North East,E12000001,Child,Not in low income,373603.0
2004-05,North East,E12000001,Pensioner,Not in low income,378050.0
2004-05,North East,E12000001,Working-Age,Not in low income,1213333.0
2004-05,North West,E12000002,Child,Not in low income,1162071.0
2004-05,North West,E12000002,Pensioner,Not in low income,964255.0
2004-05,North West,E12000002,Working-Age,Not in low income,3377460.0
2004-05,Yorkshire and The Humber,E12000003,Child,Not in low income,837862.0
2004-05,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,716849.0
2004-05,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2528224.0
2005-06,North East,E12000001,Child,Not in low income,390138.0
2005-06,North East,E12000001,Pensioner,Not in low income,397171.0
2005-06,North East,E12000001,Working-Age,Not in low income,1224490.0
2005-06,North West,E12000002,Child,Not in low income,1117046.0
2005-06,North West,E12000002,Pensioner,Not in low income,948880.0
2005-06,North West,E12000002,Working-Age,Not in low income,3325502.0
2005-06,Yorkshire and The Humber,E12000003,Child,Not in low income,819674.0
2005-06,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,723413.0
2005-06,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2492481.0
2006-07,North East,E12000001,Child,Not in low income,380606.0
2006-07,North East,E12000001,Pensioner,Not in low income,378176.0
2006-07,North East,E12000001,Working-Age,Not in low income,1221188.0
2006-07,North West,E12000002,Child,Not in low income,1123564.0
2006-07,North West,E12000002,Pensioner,Not in low income,927691.0
2006-07,North West,E12000002,Working-Age,Not in low income,3319587.0
2006-07,Yorkshire and The Humber,E12000003,Child,Not in low income,821551.0
2006-07,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,677984.0
2006-07,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2501081.0
2007-08,North East,E12000001,Child,Not in low income,376695.0
2007-08,North East,E12000001,Pensioner,Not in low income,380685.0
2007-08,North East,E12000001,Working-Age,Not in low income,1170290.0
2007-08,North West,E12000002,Child,Not in low income,1063424.0
2007-08,North West,E12000002,Pensioner,Not in low income,996999.0
2007-08,North West,E12000002,Working-Age,Not in low income,3316688.0
2007-08,Yorkshire and The Humber,E12000003,Child,Not in low income,812740.0
2007-08,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,714455.0
2007-08,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2533134.0
2008-09,North East,E12000001,Child,Not in low income,372830.0
2008-09,North East,E12000001,Pensioner,Not in low income,408626.0
2008-09,North East,E12000001,Working-Age,Not in low income,1206605.0
2008-09,North West,E12000002,Child,Not in low income,1121068.0
2008-09,North West,E12000002,Pensioner,Not in low income,1058305.0
2008-09,North West,E12000002,Working-Age,Not in low income,3404271.0
2008-09,Yorkshire and The Humber,E12000003,Child,Not in low income,799897.0
2008-09,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,741740.0
2008-09,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2476878.0
2009-10,North East,E12000001,Child,Not in low income,407987.0
2009-10,North East,E12000001,Pensioner,Not in low income,414757.0
2009-10,North East,E12000001,Working-Age,Not in low income,1215423.0
2009-10,North West,E12000002,Child,Not in low income,1161050.0
2009-10,North West,E12000002,Pensioner,Not in low income,1115726.0
2009-10,North West,E12000002,Working-Age,Not in low income,3357222.0
2009-10,Yorkshire and The Humber,E12000003,Child,Not in low income,847487.0
2009-10,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,786727.0
2009-10,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2460318.0
2010-11,North East,E12000001,Child,Not in low income,406614.0
2010-11,North East,E12000001,Pensioner,Not in low income,429872.0
2010-11,North East,E12000001,Working-Age,Not in low income,1255539.0
2010-11,North West,E12000002,Child,Not in low income,1195945.0
2010-11,North West,E12000002,Pensioner,Not in low income,1116013.0
2010-11,North West,E12000002,Working-Age,Not in low income,3377463.0
2010-11,Yorkshire and The Humber,E12000003,Child,Not in low income,843722.0
2010-11,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,806940.0
2010-11,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2472236.0
2011-12,North East,E12000001,Child,Not in low income,429415.0
2011-12,North East,E12000001,Pensioner,Not in low income,463554.0
2011-12,North East,E12000001,Working-Age,Not in low income,1192995.0
2011-12,North West,E12000002,Child,Not in low income,1152377.0
2011-12,North West,E12000002,Pensioner,Not in low income,1136679.0
2011-12,North West,E12000002,Working-Age,Not in low income,3465159.0
2011-12,Yorkshire and The Humber,E12000003,Child,Not in low income,890728.0
2011-12,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,820500.0
2011-12,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2551594.0
2012-13,North East,E12000001,Child,Not in low income,409473.0
2012-13,North East,E12000001,Pensioner,Not in low income,462203.0
2012-13,North East,E12000001,Working-Age,Not in low income,1253953.0
2012-13,North West,E12000002,Child,Not in low income,1179748.0
2012-13,North West,E12000002,Pensioner,Not in low income,1146615.0
2012-13,North West,E12000002,Working-Age,Not in low income,3439683.0
2012-13,Yorkshire and The Humber,E12000003,Child,Not in low income,880234.0
2012-13,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,835551.0
2012-13,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2527573.0
2013-14,North East,E12000001,Child,Not in low income,437980.0
2013-14,North East,E12000001,Pensioner,Not in low income,448870.0
2013-14,North East,E12000001,Working-Age,Not in low income,1249297.0
2013-14,North West,E12000002,Child,Not in low income,1214700.0
2013-14,North West,E12000002,Pensioner,Not in low income,1139691.0
2013-14,North West,E12000002,Working-Age,Not in low income,3451781.0
2013-14,Yorkshire and The Humber,E12000003,Child,Not in low income,909023.0
2013-14,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,827342.0
2013-14,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2626259.0
2014-15,North East,E12000001,Child,Not in low income,412018.0
2014-15,North East,E12000001,Pensioner,Not in low income,440900.0
2014-15,North East,E12000001,Working-Age,Not in low income,1218381.0
2014-15,North West,E12000002,Child,Not in low income,1179423.0
2014-15,North West,E12000002,Pensioner,Not in low income,1083101.0
2014-15,North West,E12000002,Working-Age,Not in low income,3426880.0
2014-15,Yorkshire and The Humber,E12000003,Child,Not in low income,870439.0
2014-15,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,845027.0
2014-15,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2567665.0
2015-16,North East,E12000001,Child,Not in low income,391807.0
2015-16,North East,E12000001,Pensioner,Not in low income,428330.0
2015-16,North East,E12000001,Working-Age,Not in low income,1287915.0
2015-16,North West,E12000002,Child,Not in low income,1158364.0
2015-16,North West,E12000002,Pensioner,Not in low income,1105334.0
2015-16,North West,E12000002,Working-Age,Not in low income,3493535.0
2015-16,Yorkshire and The Humber,E12000003,Child,Not in low income,851478.0
2015-16,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,819871.0
2015-16,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2620893.0
2016-17,North East,E12000001,Child,Not in low income,387396.0
2016-17,North East,E12000001,Pensioner,Not in low income,428510.0
2016-17,North East,E12000001,Working-Age,Not in low income,1285228.0
2016-17,North West,E12000002,Child,Not in low income,1138944.0
2016-17,North West,E12000002,Pensioner,Not in low income,1066023.0
2016-17,North West,E12000002,Working-Age,Not in low income,3503937.0
2016-17,Yorkshire and The Humber,E12000003,Child,Not in low income,904679.0
2016-17,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,790319.0
2016-17,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2666631.0
2017-18,North East,E12000001,Child,Not in low income,397387.0
2017-18,North East,E12000001,Pensioner,Not in low income,438675.0
2017-18,North East,E12000001,Working-Age,Not in low income,1253031.0
2017-18,North West,E12000002,Child,Not in low income,1124352.0
2017-18,North West,E12000002,Pensioner,Not in low income,1064228.0
2017-18,North West,E12000002,Working-Age,Not in low income,3523100.0
2017-18,Yorkshire and The Humber,E12000003,Child,Not in low income,842840.0
2017-18,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,816452.0
2017-18,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2607051.0
2018-19,North East,E12000001,Child,Not in low income,393811.0
2018-19,North East,E12000001,Pensioner,Not in low income,418349.0
2018-19,North East,E12000001,Working-Age,Not in low income,1294180.0
2018-19,North West,E12000002,Child,Not in low income,1181353.0
2018-19,North West,E12000002,Pensioner,Not in low income,1052568.0
2018-19,North West,E12000002,Working-Age,Not in low income,3627018.0
2018-19,Yorkshire and The Humber,E12000003,Child,Not in low income,824402.0
2018-19,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,801805.0
2018-19,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2586858.0
2019-20,North East,E12000001,Child,Not in low income,324964.0
2019-20,North East,E12000001,Pensioner,Not in low income,400152.0
2019-20,North East,E12000001,Working-Age,Not in low income,1232151.0
2019-20,North West,E12000002,Child,Not in low income,1177016.0
2019-20,North West,E12000002,Pensioner,Not in low income,1041074.0
2019-20,North West,E12000002,Working-Age,Not in low income,3662308.0
2019-20,Yorkshire and The Humber,E12000003,Child,Not in low income,835820.0
2019-20,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,800788.0
2019-20,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2606152.0
2020-21,North East,E12000001,Child,Not in low income,0.0
2020-21,North East,E12000001,Pensioner,Not in low income,0.0
2020-21,North East,E12000001,Working-Age,Not in low income,0.0
2020-21,North West,E12000002,Child,Not in low income,0.0
2020-21,North West,E12000002,Pensioner,Not in low income,0.0
2020-21,North West,E12000002,Working-Age,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Child,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,0.0
2020-21,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,0.0
2021-22,North East,E12000001,Child,Not in low income,457507.0
2021-22,North East,E12000001,Pensioner,Not in low income,411792.0
2021-22,North East,E12000001,Working-Age,Not in low income,1324837.0
2021-22,North West,E12000002,Child,Not in low income,1180583.0
2021-22,North West,E12000002,Pensioner,Not in low income,1048617.0
2021-22,North West,E12000002,Working-Age,Not in low income,3634871.0
2021-22,Yorkshire and The Humber,E12000003,Child,Not in low income,956282.0
2021-22,Yorkshire and The Humber,E12000003,Pensioner,Not in low income,760999.0
2021-22,Yorkshire and The Humber,E12000003,Working-Age,Not in low income,2687686.0
1994-95,North East,E12000001,Child,In low income (below threshold),181733.0
1994-95,North East,E12000001,Pensioner,In low income (below threshold),120833.0
1994-95,North East,E12000001,Working-Age,In low income (below threshold),276768.0
1994-95,North West,E12000002,Child,In low income (below threshold),476573.0
1994-95,North West,E12000002,Pensioner,In low income (below threshold),300813.0
1994-95,North West,E12000002,Working-Age,In low income (below threshold),667024.0
1994-95,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),357885.0
1994-95,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),250845.0
1994-95,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),531095.0
1995-96,North East,E12000001,Child,In low income (below threshold),197431.0
1995-96,North East,E12000001,Pensioner,In low income (below threshold),132828.0
1995-96,North East,E12000001,Working-Age,In low income (below threshold),306588.0
1995-96,North West,E12000002,Child,In low income (below threshold),409336.0
1995-96,North West,E12000002,Pensioner,In low income (below threshold),272893.0
1995-96,North West,E12000002,Working-Age,In low income (below threshold),585890.0
1995-96,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),319726.0
1995-96,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),245823.0
1995-96,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),502164.0
1996-97,North East,E12000001,Child,In low income (below threshold),185980.0
1996-97,North East,E12000001,Pensioner,In low income (below threshold),104608.0
1996-97,North East,E12000001,Working-Age,In low income (below threshold),318970.0
1996-97,North West,E12000002,Child,In low income (below threshold),481094.0
1996-97,North West,E12000002,Pensioner,In low income (below threshold),304028.0
1996-97,North West,E12000002,Working-Age,In low income (below threshold),669685.0
1996-97,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),361844.0
1996-97,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),254182.0
1996-97,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),489223.0
1997-98,North East,E12000001,Child,In low income (below threshold),191005.0
1997-98,North East,E12000001,Pensioner,In low income (below threshold),119988.0
1997-98,North East,E12000001,Working-Age,In low income (below threshold),298083.0
1997-98,North West,E12000002,Child,In low income (below threshold),492310.0
1997-98,North West,E12000002,Pensioner,In low income (below threshold),319971.0
1997-98,North West,E12000002,Working-Age,In low income (below threshold),668187.0
1997-98,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),350430.0
1997-98,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),247097.0
1997-98,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),514668.0
1998-99,North East,E12000001,Child,In low income (below threshold),213591.0
1998-99,North East,E12000001,Pensioner,In low income (below threshold),142583.0
1998-99,North East,E12000001,Working-Age,In low income (below threshold),305314.0
1998-99,North West,E12000002,Child,In low income (below threshold),547359.0
1998-99,North West,E12000002,Pensioner,In low income (below threshold),342143.0
1998-99,North West,E12000002,Working-Age,In low income (below threshold),706408.0
1998-99,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),354481.0
1998-99,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),280126.0
1998-99,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),553020.0
1999-00,North East,E12000001,Child,In low income (below threshold),174229.0
1999-00,North East,E12000001,Pensioner,In low income (below threshold),138375.0
1999-00,North East,E12000001,Working-Age,In low income (below threshold),342526.0
1999-00,North West,E12000002,Child,In low income (below threshold),457632.0
1999-00,North West,E12000002,Pensioner,In low income (below threshold),302048.0
1999-00,North West,E12000002,Working-Age,In low income (below threshold),649189.0
1999-00,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),358254.0
1999-00,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),257219.0
1999-00,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),503374.0
2000-01,North East,E12000001,Child,In low income (below threshold),182087.0
2000-01,North East,E12000001,Pensioner,In low income (below threshold),138700.0
2000-01,North East,E12000001,Working-Age,In low income (below threshold),294672.0
2000-01,North West,E12000002,Child,In low income (below threshold),381371.0
2000-01,North West,E12000002,Pensioner,In low income (below threshold),285702.0
2000-01,North West,E12000002,Working-Age,In low income (below threshold),674194.0
2000-01,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),298337.0
2000-01,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),241928.0
2000-01,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),470377.0
2001-02,North East,E12000001,Child,In low income (below threshold),153539.0
2001-02,North East,E12000001,Pensioner,In low income (below threshold),118508.0
2001-02,North East,E12000001,Working-Age,In low income (below threshold),260996.0
2001-02,North West,E12000002,Child,In low income (below threshold),418834.0
2001-02,North West,E12000002,Pensioner,In low income (below threshold),316267.0
2001-02,North West,E12000002,Working-Age,In low income (below threshold),664405.0
2001-02,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),306610.0
2001-02,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),238965.0
2001-02,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),504242.0
2002-03,North East,E12000001,Child,In low income (below threshold),184556.0
2002-03,North East,E12000001,Pensioner,In low income (below threshold),103119.0
2002-03,North East,E12000001,Working-Age,In low income (below threshold),296525.0
2002-03,North West,E12000002,Child,In low income (below threshold),364309.0
2002-03,North West,E12000002,Pensioner,In low income (below threshold),307696.0
2002-03,North West,E12000002,Working-Age,In low income (below threshold),602688.0
2002-03,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),281848.0
2002-03,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),229699.0
2002-03,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),437641.0
2003-04,North East,E12000001,Child,In low income (below threshold),153540.0
2003-04,North East,E12000001,Pensioner,In low income (below threshold),96639.0
2003-04,North East,E12000001,Working-Age,In low income (below threshold),267739.0
2003-04,North West,E12000002,Child,In low income (below threshold),372752.0
2003-04,North West,E12000002,Pensioner,In low income (below threshold),302036.0
2003-04,North West,E12000002,Working-Age,In low income (below threshold),601093.0
2003-04,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),271724.0
2003-04,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),194706.0
2003-04,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),483177.0
2004-05,North East,E12000001,Child,In low income (below threshold),162395.0
2004-05,North East,E12000001,Pensioner,In low income (below threshold),96808.0
2004-05,North East,E12000001,Working-Age,In low income (below threshold),270143.0
2004-05,North West,E12000002,Child,In low income (below threshold),340062.0
2004-05,North West,E12000002,Pensioner,In low income (below threshold),266046.0
2004-05,North West,E12000002,Working-Age,In low income (below threshold),607978.0
2004-05,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),265370.0
2004-05,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),193807.0
2004-05,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),429442.0
2005-06,North East,E12000001,Child,In low income (below threshold),141226.0
2005-06,North East,E12000001,Pensioner,In low income (below threshold),80768.0
2005-06,North East,E12000001,Working-Age,In low income (below threshold),267049.0
2005-06,North West,E12000002,Child,In low income (below threshold),376206.0
2005-06,North West,E12000002,Pensioner,In low income (below threshold),290208.0
2005-06,North West,E12000002,Working-Age,In low income (below threshold),688544.0
2005-06,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),282260.0
2005-06,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),195833.0
2005-06,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),502306.0
2006-07,North East,E12000001,Child,In low income (below threshold),149603.0
2006-07,North East,E12000001,Pensioner,In low income (below threshold),102145.0
2006-07,North East,E12000001,Working-Age,In low income (below threshold),274461.0
2006-07,North West,E12000002,Child,In low income (below threshold),369411.0
2006-07,North West,E12000002,Pensioner,In low income (below threshold),319803.0
2006-07,North West,E12000002,Working-Age,In low income (below threshold),717126.0
2006-07,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),282345.0
2006-07,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),249027.0
2006-07,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),509237.0
2007-08,North East,E12000001,Child,In low income (below threshold),150692.0
2007-08,North East,E12000001,Pensioner,In low income (below threshold),108092.0
2007-08,North East,E12000001,Working-Age,In low income (below threshold),329510.0
2007-08,North West,E12000002,Child,In low income (below threshold),424845.0
2007-08,North West,E12000002,Pensioner,In low income (below threshold),272521.0
2007-08,North West,E12000002,Working-Age,In low income (below threshold),730585.0
2007-08,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),291929.0
2007-08,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),229827.0
2007-08,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),488948.0
2008-09,North East,E12000001,Child,In low income (below threshold),149418.0
2008-09,North East,E12000001,Pensioner,In low income (below threshold),86736.0
2008-09,North East,E12000001,Working-Age,In low income (below threshold),297543.0
2008-09,North West,E12000002,Child,In low income (below threshold),355877.0
2008-09,North West,E12000002,Pensioner,In low income (below threshold),231577.0
2008-09,North West,E12000002,Working-Age,In low income (below threshold),661065.0
2008-09,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),301212.0
2008-09,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),218495.0
2008-09,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),565419.0
2009-10,North East,E12000001,Child,In low income (below threshold),118515.0
2009-10,North East,E12000001,Pensioner,In low income (below threshold),89381.0
2009-10,North East,E12000001,Working-Age,In low income (below threshold),283711.0
2009-10,North West,E12000002,Child,In low income (below threshold),332115.0
2009-10,North West,E12000002,Pensioner,In low income (below threshold),198010.0
2009-10,North West,E12000002,Working-Age,In low income (below threshold),699021.0
2009-10,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),270557.0
2009-10,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),192812.0
2009-10,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),572674.0
2010-11,North East,E12000001,Child,In low income (below threshold),118984.0
2010-11,North East,E12000001,Pensioner,In low income (below threshold),75638.0
2010-11,North East,E12000001,Working-Age,In low income (below threshold),253897.0
2010-11,North West,E12000002,Child,In low income (below threshold),294792.0
2010-11,North West,E12000002,Pensioner,In low income (below threshold),203149.0
2010-11,North West,E12000002,Working-Age,In low income (below threshold),708131.0
2010-11,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),277963.0
2010-11,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),184657.0
2010-11,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),575857.0
2011-12,North East,E12000001,Child,In low income (below threshold),94771.0
2011-12,North East,E12000001,Pensioner,In low income (below threshold),46176.0
2011-12,North East,E12000001,Working-Age,In low income (below threshold),336292.0
2011-12,North West,E12000002,Child,In low income (below threshold),336369.0
2011-12,North West,E12000002,Pensioner,In low income (below threshold),188874.0
2011-12,North West,E12000002,Working-Age,In low income (below threshold),688138.0
2011-12,Yorkshire and The Humber,E12000003,Child,In low income (below threshold),233262.0
2011-12,Yorkshire and The Humber,E12000003,Pensioner,In low income (below threshold),160685.0
2011-12,Yorkshire and The Humber,E12000003,Working-Age,In low income (below threshold),564831.0
2012-13,North East,E12000001,Child,In low income (below threshold),114136.0
2012-13,North East,E12000001,Pensioner,In low income (below threshold),49985.0
