Financial Year,geography_name,geography_code,Savings and Investments of Adults in the Family of the Individual,variable_name,value
1997-98,North West,E12000002,"£20,000 or more",Not in low income,587038.0
1997-98,North West,E12000002,"£3,000 but less than £8,000",Not in low income,614977.0
1997-98,North West,E12000002,"£8,000 but less than £10,000",Not in low income,138473.0
1997-98,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,931008.0
1997-98,Yorkshire and The Humber,E12000003,No savings,Not in low income,1106494.0
1997-98,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,346568.0
1997-98,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,249481.0
1997-98,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,68458.0
1997-98,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,415758.0
1997-98,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,540139.0
1997-98,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,107604.0
1998-99,North East,E12000001,"Less than £1,500",Not in low income,413673.0
1998-99,North East,E12000001,No savings,Not in low income,693351.0
1998-99,North East,E12000001,"£1,500 but less than £3,000",Not in low income,161721.0
1998-99,North East,E12000001,"£10,000 but less than £16,000",Not in low income,100895.0
1998-99,North East,E12000001,"£16,000 but less than £20,000",Not in low income,29314.0
1998-99,North East,E12000001,"£20,000 or more",Not in low income,169412.0
1998-99,North East,E12000001,"£3,000 but less than £8,000",Not in low income,230189.0
1998-99,North East,E12000001,"£8,000 but less than £10,000",Not in low income,60495.0
1998-99,North West,E12000002,"Less than £1,500",Not in low income,1175937.0
1998-99,North West,E12000002,No savings,Not in low income,1594774.0
1998-99,North West,E12000002,"£1,500 but less than £3,000",Not in low income,393169.0
1998-99,North West,E12000002,"£10,000 but less than £16,000",Not in low income,318807.0
1998-99,North West,E12000002,"£16,000 but less than £20,000",Not in low income,118576.0
1998-99,North West,E12000002,"£20,000 or more",Not in low income,611225.0
1998-99,North West,E12000002,"£3,000 but less than £8,000",Not in low income,710360.0
1998-99,North West,E12000002,"£8,000 but less than £10,000",Not in low income,165702.0
1998-99,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,853758.0
1998-99,Yorkshire and The Humber,E12000003,No savings,Not in low income,1196826.0
1998-99,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,319132.0
1998-99,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,199270.0
1998-99,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,115081.0
1998-99,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,387369.0
1998-99,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,512660.0
1998-99,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,106043.0
1999-00,North East,E12000001,"Less than £1,500",Not in low income,489747.0
1999-00,North East,E12000001,No savings,Not in low income,669499.0
1999-00,North East,E12000001,"£1,500 but less than £3,000",Not in low income,145154.0
1999-00,North East,E12000001,"£10,000 but less than £16,000",Not in low income,110461.0
1999-00,North East,E12000001,"£16,000 but less than £20,000",Not in low income,32458.0
1999-00,North East,E12000001,"£20,000 or more",Not in low income,167954.0
1999-00,North East,E12000001,"£3,000 but less than £8,000",Not in low income,194462.0
1999-00,North East,E12000001,"£8,000 but less than £10,000",Not in low income,45416.0
1999-00,North West,E12000002,"Less than £1,500",Not in low income,1261747.0
1999-00,North West,E12000002,No savings,Not in low income,1502370.0
1999-00,North West,E12000002,"£1,500 but less than £3,000",Not in low income,459124.0
1999-00,North West,E12000002,"£10,000 but less than £16,000",Not in low income,287415.0
1999-00,North West,E12000002,"£16,000 but less than £20,000",Not in low income,143114.0
1999-00,North West,E12000002,"£20,000 or more",Not in low income,742485.0
1999-00,North West,E12000002,"£3,000 but less than £8,000",Not in low income,721872.0
1999-00,North West,E12000002,"£8,000 but less than £10,000",Not in low income,137733.0
1999-00,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1011305.0
1999-00,Yorkshire and The Humber,E12000003,No savings,Not in low income,970424.0
1999-00,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,318889.0
1999-00,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,231588.0
1999-00,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,73905.0
1999-00,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,473266.0
1999-00,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,531709.0
1999-00,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,145796.0
2000-01,North East,E12000001,"Less than £1,500",Not in low income,515107.0
2000-01,North East,E12000001,No savings,Not in low income,626566.0
2000-01,North East,E12000001,"£1,500 but less than £3,000",Not in low income,167226.0
2000-01,North East,E12000001,"£10,000 but less than £16,000",Not in low income,111990.0
2000-01,North East,E12000001,"£16,000 but less than £20,000",Not in low income,45185.0
2000-01,North East,E12000001,"£20,000 or more",Not in low income,136345.0
2000-01,North East,E12000001,"£3,000 but less than £8,000",Not in low income,224663.0
2000-01,North East,E12000001,"£8,000 but less than £10,000",Not in low income,59743.0
2000-01,North West,E12000002,"Less than £1,500",Not in low income,1215354.0
2000-01,North West,E12000002,No savings,Not in low income,1613787.0
2000-01,North West,E12000002,"£1,500 but less than £3,000",Not in low income,388341.0
2000-01,North West,E12000002,"£10,000 but less than £16,000",Not in low income,377268.0
2000-01,North West,E12000002,"£16,000 but less than £20,000",Not in low income,117318.0
2000-01,North West,E12000002,"£20,000 or more",Not in low income,692294.0
2000-01,North West,E12000002,"£3,000 but less than £8,000",Not in low income,777887.0
2000-01,North West,E12000002,"£8,000 but less than £10,000",Not in low income,141278.0
2000-01,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1049763.0
2000-01,Yorkshire and The Humber,E12000003,No savings,Not in low income,1098506.0
2000-01,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,250565.0
2000-01,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,219253.0
2000-01,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,86073.0
2000-01,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,501150.0
2000-01,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,541462.0
2000-01,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,119551.0
2001-02,North East,E12000001,"Less than £1,500",Not in low income,499140.0
2001-02,North East,E12000001,No savings,Not in low income,696257.0
2001-02,North East,E12000001,"£1,500 but less than £3,000",Not in low income,159671.0
2001-02,North East,E12000001,"£10,000 but less than £16,000",Not in low income,94325.0
2001-02,North East,E12000001,"£16,000 but less than £20,000",Not in low income,41346.0
2001-02,North East,E12000001,"£20,000 or more",Not in low income,179178.0
2001-02,North East,E12000001,"£3,000 but less than £8,000",Not in low income,248804.0
2001-02,North East,E12000001,"£8,000 but less than £10,000",Not in low income,46970.0
2001-02,North West,E12000002,"Less than £1,500",Not in low income,1252403.0
2001-02,North West,E12000002,No savings,Not in low income,1608485.0
2001-02,North West,E12000002,"£1,500 but less than £3,000",Not in low income,385499.0
2001-02,North West,E12000002,"£10,000 but less than £16,000",Not in low income,341589.0
2001-02,North West,E12000002,"£16,000 but less than £20,000",Not in low income,140021.0
2001-02,North West,E12000002,"£20,000 or more",Not in low income,598664.0
2001-02,North West,E12000002,"£3,000 but less than £8,000",Not in low income,753223.0
2001-02,North West,E12000002,"£8,000 but less than £10,000",Not in low income,182279.0
2001-02,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1011013.0
2001-02,Yorkshire and The Humber,E12000003,No savings,Not in low income,1091210.0
2001-02,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,324845.0
2001-02,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,224611.0
2001-02,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,103937.0
2001-02,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,501630.0
2001-02,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,486100.0
2001-02,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,99550.0
2002-03,North East,E12000001,"Less than £1,500",Not in low income,468850.0
2002-03,North East,E12000001,No savings,Not in low income,625159.0
2002-03,North East,E12000001,"£1,500 but less than £3,000",Not in low income,182531.0
2002-03,North East,E12000001,"£10,000 but less than £16,000",Not in low income,102779.0
2002-03,North East,E12000001,"£16,000 but less than £20,000",Not in low income,43802.0
2002-03,North East,E12000001,"£20,000 or more",Not in low income,177755.0
2002-03,North East,E12000001,"£3,000 but less than £8,000",Not in low income,258370.0
2002-03,North East,E12000001,"£8,000 but less than £10,000",Not in low income,51610.0
2002-03,North West,E12000002,"Less than £1,500",Not in low income,1127957.0
2002-03,North West,E12000002,No savings,Not in low income,1892254.0
2002-03,North West,E12000002,"£1,500 but less than £3,000",Not in low income,473923.0
2002-03,North West,E12000002,"£10,000 but less than £16,000",Not in low income,361710.0
2002-03,North West,E12000002,"£16,000 but less than £20,000",Not in low income,103867.0
2002-03,North West,E12000002,"£20,000 or more",Not in low income,547034.0
2002-03,North West,E12000002,"£3,000 but less than £8,000",Not in low income,755929.0
2002-03,North West,E12000002,"£8,000 but less than £10,000",Not in low income,126262.0
2002-03,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,925718.0
2002-03,Yorkshire and The Humber,E12000003,No savings,Not in low income,1130440.0
2002-03,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,339981.0
2002-03,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,301088.0
2002-03,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,99323.0
2002-03,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,466756.0
2002-03,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,551961.0
2002-03,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,145646.0
2003-04,North East,E12000001,"Less than £1,500",Not in low income,478718.0
2003-04,North East,E12000001,No savings,Not in low income,682130.0
2003-04,North East,E12000001,"£1,500 but less than £3,000",Not in low income,154921.0
2003-04,North East,E12000001,"£10,000 but less than £16,000",Not in low income,100290.0
2003-04,North East,E12000001,"£16,000 but less than £20,000",Not in low income,41051.0
2003-04,North East,E12000001,"£20,000 or more",Not in low income,152462.0
2003-04,North East,E12000001,"£3,000 but less than £8,000",Not in low income,309408.0
2003-04,North East,E12000001,"£8,000 but less than £10,000",Not in low income,57443.0
2003-04,North West,E12000002,"Less than £1,500",Not in low income,1094081.0
2003-04,North West,E12000002,No savings,Not in low income,1812894.0
2003-04,North West,E12000002,"£1,500 but less than £3,000",Not in low income,460790.0
2003-04,North West,E12000002,"£10,000 but less than £16,000",Not in low income,285228.0
2003-04,North West,E12000002,"£16,000 but less than £20,000",Not in low income,140168.0
2003-04,North West,E12000002,"£20,000 or more",Not in low income,630037.0
2003-04,North West,E12000002,"£3,000 but less than £8,000",Not in low income,830750.0
2003-04,North West,E12000002,"£8,000 but less than £10,000",Not in low income,162700.0
2003-04,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,917465.0
2003-04,Yorkshire and The Humber,E12000003,No savings,Not in low income,1132952.0
2003-04,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,404164.0
2003-04,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,244621.0
2003-04,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,93715.0
2003-04,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,490341.0
2003-04,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,593620.0
2003-04,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,109465.0
2004-05,North East,E12000001,"Less than £1,500",Not in low income,532347.0
2004-05,North East,E12000001,No savings,Not in low income,577708.0
2004-05,North East,E12000001,"£1,500 but less than £3,000",Not in low income,207946.0
2004-05,North East,E12000001,"£10,000 but less than £16,000",Not in low income,96914.0
2004-05,North East,E12000001,"£16,000 but less than £20,000",Not in low income,48836.0
2004-05,North East,E12000001,"£20,000 or more",Not in low income,183065.0
2004-05,North East,E12000001,"£3,000 but less than £8,000",Not in low income,251231.0
2004-05,North East,E12000001,"£8,000 but less than £10,000",Not in low income,66939.0
2004-05,North West,E12000002,"Less than £1,500",Not in low income,1250083.0
2004-05,North West,E12000002,No savings,Not in low income,1899059.0
2004-05,North West,E12000002,"£1,500 but less than £3,000",Not in low income,400691.0
2004-05,North West,E12000002,"£10,000 but less than £16,000",Not in low income,336376.0
2004-05,North West,E12000002,"£16,000 but less than £20,000",Not in low income,85649.0
2004-05,North West,E12000002,"£20,000 or more",Not in low income,632705.0
2004-05,North West,E12000002,"£3,000 but less than £8,000",Not in low income,731540.0
2004-05,North West,E12000002,"£8,000 but less than £10,000",Not in low income,167683.0
2004-05,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,1006476.0
2004-05,Yorkshire and The Humber,E12000003,No savings,Not in low income,1231528.0
2004-05,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,306992.0
2004-05,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,274954.0
2004-05,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,145115.0
2004-05,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,451326.0
2004-05,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,530917.0
2004-05,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,135627.0
2005-06,North East,E12000001,"Less than £1,500",Not in low income,459341.0
2005-06,North East,E12000001,No savings,Not in low income,747100.0
2005-06,North East,E12000001,"£1,500 but less than £3,000",Not in low income,127678.0
2005-06,North East,E12000001,"£10,000 but less than £16,000",Not in low income,139688.0
2005-06,North East,E12000001,"£16,000 but less than £20,000",Not in low income,45744.0
2005-06,North East,E12000001,"£20,000 or more",Not in low income,173934.0
2005-06,North East,E12000001,"£3,000 but less than £8,000",Not in low income,264031.0
2005-06,North East,E12000001,"£8,000 but less than £10,000",Not in low income,54283.0
2005-06,North West,E12000002,"Less than £1,500",Not in low income,1236170.0
2005-06,North West,E12000002,No savings,Not in low income,1763061.0
2005-06,North West,E12000002,"£1,500 but less than £3,000",Not in low income,363756.0
2005-06,North West,E12000002,"£10,000 but less than £16,000",Not in low income,324170.0
2005-06,North West,E12000002,"£16,000 but less than £20,000",Not in low income,135907.0
2005-06,North West,E12000002,"£20,000 or more",Not in low income,708464.0
2005-06,North West,E12000002,"£3,000 but less than £8,000",Not in low income,676424.0
2005-06,North West,E12000002,"£8,000 but less than £10,000",Not in low income,183476.0
2005-06,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,865345.0
2005-06,Yorkshire and The Humber,E12000003,No savings,Not in low income,1208922.0
2005-06,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,286236.0
2005-06,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,230737.0
2005-06,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,85388.0
2005-06,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,577564.0
2005-06,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,619063.0
2005-06,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,162313.0
2006-07,North East,E12000001,"Less than £1,500",Not in low income,502211.0
2006-07,North East,E12000001,No savings,Not in low income,602766.0
2006-07,North East,E12000001,"£1,500 but less than £3,000",Not in low income,149515.0
2006-07,North East,E12000001,"£10,000 but less than £16,000",Not in low income,119388.0
2006-07,North East,E12000001,"£16,000 but less than £20,000",Not in low income,49184.0
2006-07,North East,E12000001,"£20,000 or more",Not in low income,221079.0
2006-07,North East,E12000001,"£3,000 but less than £8,000",Not in low income,289703.0
2006-07,North East,E12000001,"£8,000 but less than £10,000",Not in low income,46124.0
2006-07,North West,E12000002,"Less than £1,500",Not in low income,1179462.0
2006-07,North West,E12000002,No savings,Not in low income,1946650.0
2006-07,North West,E12000002,"£1,500 but less than £3,000",Not in low income,343061.0
2006-07,North West,E12000002,"£10,000 but less than £16,000",Not in low income,324349.0
2006-07,North West,E12000002,"£16,000 but less than £20,000",Not in low income,128251.0
2006-07,North West,E12000002,"£20,000 or more",Not in low income,631075.0
2006-07,North West,E12000002,"£3,000 but less than £8,000",Not in low income,669991.0
2006-07,North West,E12000002,"£8,000 but less than £10,000",Not in low income,148003.0
2006-07,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,879718.0
2006-07,Yorkshire and The Humber,E12000003,No savings,Not in low income,1103155.0
2006-07,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,322017.0
2006-07,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,279749.0
2006-07,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,113712.0
2006-07,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,582506.0
2006-07,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,601314.0
2006-07,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,118445.0
2007-08,North East,E12000001,"Less than £1,500",Not in low income,409245.0
2007-08,North East,E12000001,No savings,Not in low income,595391.0
2007-08,North East,E12000001,"£1,500 but less than £3,000",Not in low income,162477.0
2007-08,North East,E12000001,"£10,000 but less than £16,000",Not in low income,127965.0
2007-08,North East,E12000001,"£16,000 but less than £20,000",Not in low income,53191.0
2007-08,North East,E12000001,"£20,000 or more",Not in low income,218061.0
2007-08,North East,E12000001,"£3,000 but less than £8,000",Not in low income,288692.0
2007-08,North East,E12000001,"£8,000 but less than £10,000",Not in low income,72648.0
2007-08,North West,E12000002,"Less than £1,500",Not in low income,1138534.0
2007-08,North West,E12000002,No savings,Not in low income,1726264.0
2007-08,North West,E12000002,"£1,500 but less than £3,000",Not in low income,363033.0
2007-08,North West,E12000002,"£10,000 but less than £16,000",Not in low income,312341.0
2007-08,North West,E12000002,"£16,000 but less than £20,000",Not in low income,171268.0
2007-08,North West,E12000002,"£20,000 or more",Not in low income,733660.0
2007-08,North West,E12000002,"£3,000 but less than £8,000",Not in low income,755464.0
2007-08,North West,E12000002,"£8,000 but less than £10,000",Not in low income,176547.0
2007-08,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,913992.0
2007-08,Yorkshire and The Humber,E12000003,No savings,Not in low income,1163271.0
2007-08,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,287035.0
2007-08,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,246979.0
2007-08,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,114266.0
2007-08,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,567287.0
2007-08,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,633149.0
2007-08,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,134350.0
2008-09,North East,E12000001,"Less than £1,500",Not in low income,380076.0
2008-09,North East,E12000001,No savings,Not in low income,655200.0
2008-09,North East,E12000001,"£1,500 but less than £3,000",Not in low income,141341.0
2008-09,North East,E12000001,"£10,000 but less than £16,000",Not in low income,165271.0
2008-09,North East,E12000001,"£16,000 but less than £20,000",Not in low income,67062.0
2008-09,North East,E12000001,"£20,000 or more",Not in low income,237375.0
2008-09,North East,E12000001,"£3,000 but less than £8,000",Not in low income,266547.0
2008-09,North East,E12000001,"£8,000 but less than £10,000",Not in low income,75189.0
2008-09,North West,E12000002,"Less than £1,500",Not in low income,1151381.0
2008-09,North West,E12000002,No savings,Not in low income,1996979.0
2008-09,North West,E12000002,"£1,500 but less than £3,000",Not in low income,393890.0
2008-09,North West,E12000002,"£10,000 but less than £16,000",Not in low income,320628.0
2008-09,North West,E12000002,"£16,000 but less than £20,000",Not in low income,146970.0
2008-09,North West,E12000002,"£20,000 or more",Not in low income,747234.0
2008-09,North West,E12000002,"£3,000 but less than £8,000",Not in low income,705697.0
2008-09,North West,E12000002,"£8,000 but less than £10,000",Not in low income,120865.0
2008-09,Yorkshire and The Humber,E12000003,"Less than £1,500",Not in low income,883437.0
2008-09,Yorkshire and The Humber,E12000003,No savings,Not in low income,1235541.0
2008-09,Yorkshire and The Humber,E12000003,"£1,500 but less than £3,000",Not in low income,317769.0
2008-09,Yorkshire and The Humber,E12000003,"£10,000 but less than £16,000",Not in low income,285182.0
2008-09,Yorkshire and The Humber,E12000003,"£16,000 but less than £20,000",Not in low income,117663.0
2008-09,Yorkshire and The Humber,E12000003,"£20,000 or more",Not in low income,515648.0
2008-09,Yorkshire and The Humber,E12000003,"£3,000 but less than £8,000",Not in low income,563435.0
2008-09,Yorkshire and The Humber,E12000003,"£8,000 but less than £10,000",Not in low income,99840.0
