geography_code,ahc_income_status,Marital Status of Adults and Type of Couple in the Family of the Individual,bhc_income_status,variable_name,value,date,population,percent
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,748135.6666666666,1996-97 - 1998-99,3841992.3333333335,19.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,133462.33333333334,1996-97 - 1998-99,3841992.3333333335,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,296485.6666666667,1996-97 - 1998-99,1037182.3333333333,29.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,109586.66666666667,1996-97 - 1998-99,1037182.3333333333,11.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,21164.333333333332,1996-97 - 1998-99,1930365.3333333335,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1415213.6666666667,1996-97 - 1998-99,1930365.3333333335,73.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,16704.0,1996-97 - 1998-99,598237.0,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,331221.0,1996-97 - 1998-99,598237.0,55.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,74462.66666666667,1996-97 - 1998-99,5145515.333333334,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3867148.3333333335,1996-97 - 1998-99,5145515.333333334,75.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,40480.666666666664,1996-97 - 1998-99,1545779.3333333333,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,893987.6666666666,1996-97 - 1998-99,1545779.3333333333,58.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,61319.0,1996-97 - 1998-99,3841992.3333333335,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2899075.3333333335,1996-97 - 1998-99,3841992.3333333335,75.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,29083.333333333332,1996-97 - 1998-99,1037182.3333333333,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,602026.6666666666,1996-97 - 1998-99,1037182.3333333333,58.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,312763.3333333333,1997-98 - 1999-00,1606993.3333333333,19.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,60269.333333333336,1997-98 - 1999-00,1606993.3333333333,4.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,286699.3333333333,1997-98 - 1999-00,912718.6666666667,31.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,92692.66666666667,1997-98 - 1999-00,912718.6666666667,10.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,742011.3333333334,1997-98 - 1999-00,4374723.0,17.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,134863.66666666666,1997-98 - 1999-00,4374723.0,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,629742.6666666666,1997-98 - 1999-00,2304025.6666666665,27.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,273690.3333333333,1997-98 - 1999-00,2304025.6666666665,12.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,615599.6666666666,1997-98 - 1999-00,3319136.6666666665,19.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,85009.33333333333,1997-98 - 1999-00,3319136.6666666665,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,439989.3333333333,1997-98 - 1999-00,1557930.0,28.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,161500.33333333334,1997-98 - 1999-00,1557930.0,10.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,19469.333333333332,1997-98 - 1999-00,1606993.3333333333,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1214491.3333333333,1997-98 - 1999-00,1606993.3333333333,76.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,22966.0,1997-98 - 1999-00,912718.6666666667,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,510360.6666666667,1997-98 - 1999-00,912718.6666666667,56.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,67046.0,1997-98 - 1999-00,4374723.0,2.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3430802.0,1997-98 - 1999-00,4374723.0,78.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,56282.333333333336,1997-98 - 1999-00,2304025.6666666665,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1344310.3333333333,1997-98 - 1999-00,2304025.6666666665,58.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,39714.666666666664,1997-98 - 1999-00,3319136.6666666665,1.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2578813.0,1997-98 - 1999-00,3319136.6666666665,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,44252.666666666664,1997-98 - 1999-00,1557930.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,912187.6666666666,1997-98 - 1999-00,1557930.0,59.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,318647.0,1998-99 - 2000-01,1590800.3333333333,20.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,51016.666666666664,1998-99 - 2000-01,1590800.3333333333,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,277326.6666666667,1998-99 - 2000-01,920234.0,30.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,85594.0,1998-99 - 2000-01,920234.0,9.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,729472.6666666666,1998-99 - 2000-01,4368079.666666667,17.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,132889.66666666666,1998-99 - 2000-01,4368079.666666667,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,605283.3333333334,1998-99 - 2000-01,2303248.0,26.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,268012.6666666667,1998-99 - 2000-01,2303248.0,12.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,582352.3333333334,1998-99 - 2000-01,3330761.0,17.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,90369.33333333333,1998-99 - 2000-01,3330761.0,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,433787.3333333333,1998-99 - 2000-01,1546059.0,28.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,154954.66666666666,1998-99 - 2000-01,1546059.0,10.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,23627.333333333332,1998-99 - 2000-01,1590800.3333333333,1.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1197509.3333333333,1998-99 - 2000-01,1590800.3333333333,75.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,24424.666666666668,1998-99 - 2000-01,920234.0,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,532888.6666666666,1998-99 - 2000-01,920234.0,58.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,58657.0,1998-99 - 2000-01,4368079.666666667,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3447060.3333333335,1998-99 - 2000-01,4368079.666666667,79.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,55269.0,1998-99 - 2000-01,2303248.0,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1374683.0,1998-99 - 2000-01,2303248.0,60.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,45181.333333333336,1998-99 - 2000-01,3330761.0,1.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2612858.0,1998-99 - 2000-01,3330761.0,78.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,44384.333333333336,1998-99 - 2000-01,1546059.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,912932.6666666666,1998-99 - 2000-01,1546059.0,59.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,275967.0,1999-00 - 2001-02,1587793.3333333333,17.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,44827.666666666664,1999-00 - 2001-02,1587793.3333333333,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,270596.6666666667,1999-00 - 2001-02,915973.0,30.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,78700.33333333333,1999-00 - 2001-02,915973.0,9.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,679675.3333333334,1999-00 - 2001-02,4337127.0,16.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,147114.33333333334,1999-00 - 2001-02,4337127.0,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,589768.0,1999-00 - 2001-02,2326603.6666666665,25.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,241299.0,1999-00 - 2001-02,2326603.6666666665,10.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,541528.6666666666,1999-00 - 2001-02,3322645.333333333,16.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,98703.0,1999-00 - 2001-02,3322645.333333333,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,429285.6666666667,1999-00 - 2001-02,1559157.0,28.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,145995.0,1999-00 - 2001-02,1559157.0,9.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,27971.333333333332,1999-00 - 2001-02,1587793.3333333333,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1239027.3333333333,1999-00 - 2001-02,1587793.3333333333,78.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,26675.666666666668,1999-00 - 2001-02,915973.0,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,540000.3333333334,1999-00 - 2001-02,915973.0,59.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,58400.0,1999-00 - 2001-02,4337127.0,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3451937.3333333335,1999-00 - 2001-02,4337127.0,80.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,55370.666666666664,1999-00 - 2001-02,2326603.6666666665,2.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1440166.0,1999-00 - 2001-02,2326603.6666666665,62.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,48269.666666666664,1999-00 - 2001-02,3322645.333333333,1.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2634144.0,1999-00 - 2001-02,3322645.333333333,79.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,40684.666666666664,1999-00 - 2001-02,1559157.0,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,943191.6666666666,1999-00 - 2001-02,1559157.0,60.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,277730.6666666667,2000-01 - 2002-03,1616671.6666666667,17.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,51515.666666666664,2000-01 - 2002-03,1616671.6666666667,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,248914.66666666666,2000-01 - 2002-03,882019.6666666667,28.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,69549.66666666667,2000-01 - 2002-03,882019.6666666667,8.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,668882.0,2000-01 - 2002-03,4335650.666666667,15.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,149119.66666666666,2000-01 - 2002-03,4335650.666666667,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,557033.0,2000-01 - 2002-03,2327713.3333333335,24.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,217515.0,2000-01 - 2002-03,2327713.3333333335,9.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,504197.0,2000-01 - 2002-03,3328461.0,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,94820.66666666667,2000-01 - 2002-03,3328461.0,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,410294.0,2000-01 - 2002-03,1564798.6666666665,26.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,146915.66666666666,2000-01 - 2002-03,1564798.6666666665,9.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,24576.666666666668,2000-01 - 2002-03,1616671.6666666667,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1262848.6666666667,2000-01 - 2002-03,1616671.6666666667,78.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,26345.333333333332,2000-01 - 2002-03,882019.6666666667,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,537210.0,2000-01 - 2002-03,882019.6666666667,61.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,54134.0,2000-01 - 2002-03,4335650.666666667,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3463515.0,2000-01 - 2002-03,4335650.666666667,80.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,58439.666666666664,2000-01 - 2002-03,2327713.3333333335,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1494725.6666666667,2000-01 - 2002-03,2327713.3333333335,64.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,52254.666666666664,2000-01 - 2002-03,3328461.0,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2677188.6666666665,2000-01 - 2002-03,3328461.0,80.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,36470.0,2000-01 - 2002-03,1564798.6666666665,2.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,971119.0,2000-01 - 2002-03,1564798.6666666665,62.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,252647.66666666666,2001-02 - 2003-04,1613686.3333333333,16.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,48920.333333333336,2001-02 - 2003-04,1613686.3333333333,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,235490.33333333334,2001-02 - 2003-04,882357.3333333334,27.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,61358.333333333336,2001-02 - 2003-04,882357.3333333334,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,654767.0,2001-02 - 2003-04,4351446.0,15.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,143606.33333333334,2001-02 - 2003-04,4351446.0,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,540044.3333333334,2001-02 - 2003-04,2321163.0,23.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,200367.66666666666,2001-02 - 2003-04,2321163.0,9.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,515736.3333333333,2001-02 - 2003-04,3344018.333333333,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,111238.0,2001-02 - 2003-04,3344018.333333333,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,377065.3333333333,2001-02 - 2003-04,1568903.0,24.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,149067.0,2001-02 - 2003-04,1568903.0,10.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,29572.0,2001-02 - 2003-04,1613686.3333333333,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1282546.3333333333,2001-02 - 2003-04,1613686.3333333333,79.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,27343.666666666668,2001-02 - 2003-04,882357.3333333334,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,558165.0,2001-02 - 2003-04,882357.3333333334,63.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,55037.666666666664,2001-02 - 2003-04,4351446.0,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3498035.0,2001-02 - 2003-04,4351446.0,80.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,66844.33333333333,2001-02 - 2003-04,2321163.0,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1513906.6666666667,2001-02 - 2003-04,2321163.0,65.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,52217.333333333336,2001-02 - 2003-04,3344018.333333333,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2664826.6666666665,2001-02 - 2003-04,3344018.333333333,80.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,37851.666666666664,2001-02 - 2003-04,1568903.0,2.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1004919.0,2001-02 - 2003-04,1568903.0,64.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,274072.6666666667,2002-03 - 2004-05,1631891.6666666667,17.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,43610.0,2002-03 - 2004-05,1631891.6666666667,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,218056.66666666666,2002-03 - 2004-05,862684.6666666666,25.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,56992.333333333336,2002-03 - 2004-05,862684.6666666666,7.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,604786.0,2002-03 - 2004-05,4367606.0,14.0
E12000002,In low income (below threshold),Couple,Not in low income (at or above threshold),population,131877.66666666666,2002-03 - 2004-05,4367606.0,3.0
E12000002,In low income (below threshold),Single,In low income (below threshold),population,522548.3333333333,2002-03 - 2004-05,2323737.333333333,22.0
E12000002,In low income (below threshold),Single,Not in low income (at or above threshold),population,197811.33333333334,2002-03 - 2004-05,2323737.333333333,9.0
E12000003,In low income (below threshold),Couple,In low income (below threshold),population,489726.3333333333,2002-03 - 2004-05,3362262.3333333335,15.0
E12000003,In low income (below threshold),Couple,Not in low income (at or above threshold),population,105459.0,2002-03 - 2004-05,3362262.3333333335,3.0
E12000003,In low income (below threshold),Single,In low income (below threshold),population,347892.6666666667,2002-03 - 2004-05,1576939.3333333335,22.0
E12000003,In low income (below threshold),Single,Not in low income (at or above threshold),population,135145.33333333334,2002-03 - 2004-05,1576939.3333333335,9.0
E12000001,Not in low income (at or above threshold),Couple,In low income (below threshold),population,25546.0,2002-03 - 2004-05,1631891.6666666667,2.0
E12000001,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,1288663.0,2002-03 - 2004-05,1631891.6666666667,79.0
E12000001,Not in low income (at or above threshold),Single,In low income (below threshold),population,26146.0,2002-03 - 2004-05,862684.6666666666,3.0
E12000001,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,561489.6666666666,2002-03 - 2004-05,862684.6666666666,65.0
E12000002,Not in low income (at or above threshold),Couple,In low income (below threshold),population,58948.0,2002-03 - 2004-05,4367606.0,1.0
E12000002,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,3571994.3333333335,2002-03 - 2004-05,4367606.0,82.0
E12000002,Not in low income (at or above threshold),Single,In low income (below threshold),population,68604.33333333333,2002-03 - 2004-05,2323737.333333333,3.0
E12000002,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1534773.3333333333,2002-03 - 2004-05,2323737.333333333,66.0
E12000003,Not in low income (at or above threshold),Couple,In low income (below threshold),population,50840.666666666664,2002-03 - 2004-05,3362262.3333333335,2.0
E12000003,Not in low income (at or above threshold),Couple,Not in low income (at or above threshold),population,2716236.3333333335,2002-03 - 2004-05,3362262.3333333335,81.0
E12000003,Not in low income (at or above threshold),Single,In low income (below threshold),population,40678.333333333336,2002-03 - 2004-05,1576939.3333333335,3.0
E12000003,Not in low income (at or above threshold),Single,Not in low income (at or above threshold),population,1053223.0,2002-03 - 2004-05,1576939.3333333335,67.0
E12000001,In low income (below threshold),Couple,In low income (below threshold),population,242589.33333333334,2003-04 - 2005-06,1606707.3333333335,15.0
E12000001,In low income (below threshold),Couple,Not in low income (at or above threshold),population,48187.0,2003-04 - 2005-06,1606707.3333333335,3.0
E12000001,In low income (below threshold),Single,In low income (below threshold),population,217057.0,2003-04 - 2005-06,889797.6666666666,24.0
E12000001,In low income (below threshold),Single,Not in low income (at or above threshold),population,55974.333333333336,2003-04 - 2005-06,889797.6666666666,6.0
E12000002,In low income (below threshold),Couple,In low income (below threshold),population,611273.3333333334,2003-04 - 2005-06,4349733.333333333,14.0
