Stat-Xplore

"Households Below Average Income (I II III IV V VI i)"
"Type of Individual by Age Category by Financial Year by 60 per cent of median net household income (BHC) in latest prices and Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method)"
"Counting: Weighted Sum of Income Distribution - Whole Population"

Filters:
"Default Summation","Weighted Sum of Income Distribution - Whole Population"

"Measures","Type of Individual by Age Category","Financial Year","60 per cent of median net household income (BHC) in latest prices","Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method) (3ya)","Count","RSE","Annotations"
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","In low income (below threshold)","Total",742938,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Total","Yorkshire and The Humber (E12000003)",1136089,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Total","North West (E12000002)",1514227,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Total","North East (E12000001)",523641,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2016-17 (r)","Total","Total",3173957,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",842840,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Not in low income (at or above threshold)","North West (E12000002)",1124352,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Not in low income (at or above threshold)","North East (E12000001)",397387,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Not in low income (at or above threshold)","Total",2364579,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",305234,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","In low income (below threshold)","North West (E12000002)",413627,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","In low income (below threshold)","North East (E12000001)",127785,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","In low income (below threshold)","Total",846646,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Total","Yorkshire and The Humber (E12000003)",1148074,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Total","North West (E12000002)",1537979,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Total","North East (E12000001)",525172,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2017-18 (r)","Total","Total",3211225,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",824402,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Not in low income (at or above threshold)","North West (E12000002)",1181353,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Not in low income (at or above threshold)","North East (E12000001)",393811,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Not in low income (at or above threshold)","Total",2399566,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",337229,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","In low income (below threshold)","North West (E12000002)",371301,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","In low income (below threshold)","North East (E12000001)",135374,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","In low income (below threshold)","Total",843904,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Total","Yorkshire and The Humber (E12000003)",1161631,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Total","North West (E12000002)",1552654,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Total","North East (E12000001)",529185,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2018-19 (r)","Total","Total",3243470,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",835820,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Not in low income (at or above threshold)","North West (E12000002)",1177016,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Not in low income (at or above threshold)","North East (E12000001)",324964,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Not in low income (at or above threshold)","Total",2337800,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","In low income (below threshold)","Yorkshire and The Humber (E12000003)",321885,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","In low income (below threshold)","North West (E12000002)",379766,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","In low income (below threshold)","North East (E12000001)",204209,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","In low income (below threshold)","Total",905860,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Total","Yorkshire and The Humber (E12000003)",1157705,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Total","North West (E12000002)",1556782,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Total","North East (E12000001)",529173,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2019-20","Total","Total",3243660,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Not in low income (at or above threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Not in low income (at or above threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Not in low income (at or above threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","In low income (below threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","In low income (below threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","In low income (below threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Total","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Total","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Total","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2020-21 (covid2021)","Total","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",956282,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North West (E12000002)",1180583,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North East (E12000001)",457507,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Total",2594372,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",246573,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","In low income (below threshold)","North West (E12000002)",427278,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","In low income (below threshold)","North East (E12000001)",90285,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","In low income (below threshold)","Total",764136,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Total","Yorkshire and The Humber (E12000003)",1202855,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Total","North West (E12000002)",1607861,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Total","North East (E12000001)",547792,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","2021-22 (covid2122, div)","Total","Total",3358508,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",6085940,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Not in low income (at or above threshold)","North West (E12000002)",8140035,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Not in low income (at or above threshold)","North East (E12000001)",2764890,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Not in low income (at or above threshold)","Total",16990865,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","In low income (below threshold)","Yorkshire and The Humber (E12000003)",1980208,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","In low income (below threshold)","North West (E12000002)",2644888,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","In low income (below threshold)","North East (E12000001)",933948,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","In low income (below threshold)","Total",5559044,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Total","Yorkshire and The Humber (E12000003)",8066148,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Total","North West (E12000002)",10784923,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Total","North East (E12000001)",3698838,0.00,
"Weighted Sum of Income Distribution - Whole Population","Child","Total","Total","Total",22549909,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2567665,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Not in low income (at or above threshold)","North West (E12000002)",3426880,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Not in low income (at or above threshold)","North East (E12000001)",1218381,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Not in low income (at or above threshold)","Total",7212926,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",546255,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","In low income (below threshold)","North West (E12000002)",748615,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","In low income (below threshold)","North East (E12000001)",314356,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","In low income (below threshold)","Total",1609226,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Total","Yorkshire and The Humber (E12000003)",3113920,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Total","North West (E12000002)",4175495,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Total","North East (E12000001)",1532737,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2014-15 (r)","Total","Total",8822152,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2620893,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Not in low income (at or above threshold)","North West (E12000002)",3493535,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Not in low income (at or above threshold)","North East (E12000001)",1287915,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Not in low income (at or above threshold)","Total",7402343,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",536049,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","In low income (below threshold)","North West (E12000002)",696517,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","In low income (below threshold)","North East (E12000001)",250253,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","In low income (below threshold)","Total",1482819,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Total","Yorkshire and The Humber (E12000003)",3156942,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Total","North West (E12000002)",4190052,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Total","North East (E12000001)",1538168,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2015-16 (r)","Total","Total",8885162,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2666631,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Not in low income (at or above threshold)","North West (E12000002)",3503937,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Not in low income (at or above threshold)","North East (E12000001)",1285228,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Not in low income (at or above threshold)","Total",7455796,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",513176,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","In low income (below threshold)","North West (E12000002)",740196,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","In low income (below threshold)","North East (E12000001)",268527,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","In low income (below threshold)","Total",1521899,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Total","Yorkshire and The Humber (E12000003)",3179807,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Total","North West (E12000002)",4244133,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Total","North East (E12000001)",1553755,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2016-17 (r)","Total","Total",8977695,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2607051,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Not in low income (at or above threshold)","North West (E12000002)",3523100,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Not in low income (at or above threshold)","North East (E12000001)",1253031,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Not in low income (at or above threshold)","Total",7383182,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",594114,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","In low income (below threshold)","North West (E12000002)",754048,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","In low income (below threshold)","North East (E12000001)",304485,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","In low income (below threshold)","Total",1652647,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Total","Yorkshire and The Humber (E12000003)",3201165,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Total","North West (E12000002)",4277148,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Total","North East (E12000001)",1557516,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2017-18 (r)","Total","Total",9035829,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2586858,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Not in low income (at or above threshold)","North West (E12000002)",3627018,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Not in low income (at or above threshold)","North East (E12000001)",1294180,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Not in low income (at or above threshold)","Total",7508056,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",673746,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","In low income (below threshold)","North West (E12000002)",700174,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","In low income (below threshold)","North East (E12000001)",291127,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","In low income (below threshold)","Total",1665047,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Total","Yorkshire and The Humber (E12000003)",3260604,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Total","North West (E12000002)",4327192,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Total","North East (E12000001)",1585307,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2018-19 (r)","Total","Total",9173103,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2606152,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Not in low income (at or above threshold)","North West (E12000002)",3662308,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Not in low income (at or above threshold)","North East (E12000001)",1232151,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Not in low income (at or above threshold)","Total",7500611,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","In low income (below threshold)","Yorkshire and The Humber (E12000003)",653709,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","In low income (below threshold)","North West (E12000002)",694438,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","In low income (below threshold)","North East (E12000001)",371625,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","In low income (below threshold)","Total",1719772,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Total","Yorkshire and The Humber (E12000003)",3259861,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Total","North West (E12000002)",4356746,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Total","North East (E12000001)",1603776,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2019-20","Total","Total",9220383,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Not in low income (at or above threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Not in low income (at or above threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Not in low income (at or above threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","In low income (below threshold)","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","In low income (below threshold)","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","In low income (below threshold)","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Total","Yorkshire and The Humber (E12000003)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Total","North West (E12000002)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Total","North East (E12000001)",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2020-21 (covid2021)","Total","Total",..,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",2687686,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North West (E12000002)",3634871,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Not in low income (at or above threshold)","North East (E12000001)",1324837,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Not in low income (at or above threshold)","Total",7647394,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","In low income (below threshold)","Yorkshire and The Humber (E12000003)",589198,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","In low income (below threshold)","North West (E12000002)",705150,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","In low income (below threshold)","North East (E12000001)",245979,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","In low income (below threshold)","Total",1540327,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Total","Yorkshire and The Humber (E12000003)",3276884,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Total","North West (E12000002)",4340021,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Total","North East (E12000001)",1570816,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","2021-22 (covid2122, div)","Total","Total",9187721,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Not in low income (at or above threshold)","Yorkshire and The Humber (E12000003)",18342936,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Not in low income (at or above threshold)","North West (E12000002)",24871649,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Not in low income (at or above threshold)","North East (E12000001)",8895723,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Not in low income (at or above threshold)","Total",52110308,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","In low income (below threshold)","Yorkshire and The Humber (E12000003)",4106247,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","In low income (below threshold)","North West (E12000002)",5039138,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","In low income (below threshold)","North East (E12000001)",2046352,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","In low income (below threshold)","Total",11191737,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Total","Yorkshire and The Humber (E12000003)",22449183,0.00,
"Weighted Sum of Income Distribution - Whole Population","Working-Age","Total","Total","North West (E12000002)",29910787,0.00,
